Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,142857,475
"(561, '2024-09-20', 'Bahn', 24, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-20 00:00:00,Bahn,24,266,38,39,,
"(562, '2024-09-20', 'Bahn', 48, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-20 00:00:00,Bahn,48,277,40,40,,
"(561, '2024-09-21', 'Bahn', 4, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-21 00:00:00,Bahn,4,266,38,41,,
"(562, '2024-09-21', 'Bahn', 1, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-21 00:00:00,Bahn,1,277,40,42,,
"(560, '2024-09-23', 'LKW', 19, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-23 00:00:00,LKW,19,44,6,43,,
"(561, '2024-09-23', 'Bahn', 22, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-23 00:00:00,Bahn,22,266,38,44,,
"(562, '2024-09-23', 'Bahn', 41, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-23 00:00:00,Bahn,41,277,40,45,,
"(560, '2024-09-24', 'LKW', 7, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-24 00:00:00,LKW,7,44,6,46,,
"(561, '2024-09-24', 'Bahn', 30, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-24 00:00:00,Bahn,30,266,38,47,,
"(562, '2024-09-24', 'Bahn', 46, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-24 00:00:00,Bahn,46,277,40,48,,
"(560, '2024-09-25', 'LKW', 3, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-25 00:00:00,LKW,3,44,6,49,,
"(561, '2024-09-25', 'Bahn', 29, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-25 00:00:00,Bahn,29,266,38,50,,
"(562, '2024-09-25', 'Bahn', 60, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-25 00:00:00,Bahn,60,277,40,51,,
"(560, '2024-09-26', 'LKW', 15, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-26 00:00:00,LKW,15,44,6,52,,
"(561, '2024-09-26', 'Bahn', 36, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-26 00:00:00,Bahn,36,266,38,53,,
"(562, '2024-09-26', 'Bahn', 65, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-26 00:00:00,Bahn,65,277,40,54,,
"(560, '2024-09-27', 'LKW', 10, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-27 00:00:00,LKW,10,44,6,55,,
"(561, '2024-09-27', 'Bahn', 30, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-27 00:00:00,Bahn,30,266,38,56,,
"(562, '2024-09-27', 'Bahn', 63, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-27 00:00:00,Bahn,63,277,40,57,,
"(561, '2024-09-28', 'Bahn', 2, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-28 00:00:00,Bahn,2,266,38,58,,
"(560, '2024-09-30', 'LKW', 10, 44, 6),",560,SVKBTS001,DEUNDS001,2024-09-30 00:00:00,LKW,10,44,6,59,,
"(561, '2024-09-30', 'Bahn', 24, 266, 38),",561,SVKBTS001,DEURKW001,2024-09-30 00:00:00,Bahn,24,266,38,60,,
"(562, '2024-09-30', 'Bahn', 49, 277, 40),",562,SVKBTS001,DEUULZ001,2024-09-30 00:00:00,Bahn,49,277,40,61,,
"(560, '2024-10-01', 'LKW', 14, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-01 00:00:00,LKW,14,44,6,62,,
"(561, '2024-10-01', 'Bahn', 22, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-01 00:00:00,Bahn,22,266,38,63,,
"(562, '2024-10-01', 'Bahn', 51, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-01 00:00:00,Bahn,51,277,40,64,,
"(560, '2024-10-02', 'LKW', 10, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-02 00:00:00,LKW,10,44,6,65,,
"(561, '2024-10-02', 'Bahn', 28, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-02 00:00:00,Bahn,28,266,38,66,,
"(562, '2024-10-02', 'Bahn', 38, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-02 00:00:00,Bahn,38,277,40,67,,
"(560, '2024-10-03', 'LKW', 9, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-03 00:00:00,LKW,9,44,6,68,,
"(561, '2024-10-03', 'Bahn', 22, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-03 00:00:00,Bahn,22,266,38,69,,
"(562, '2024-10-03', 'Bahn', 46, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-03 00:00:00,Bahn,46,277,40,70,,
"(560, '2024-10-04', 'LKW', 4, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-04 00:00:00,LKW,4,44,6,71,,
"(561, '2024-10-04', 'Bahn', 21, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-04 00:00:00,Bahn,21,266,38,72,,
"(562, '2024-10-04', 'Bahn', 36, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-04 00:00:00,Bahn,36,277,40,73,,
"(561, '2024-10-05', 'Bahn', 2, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-05 00:00:00,Bahn,2,266,38,74,,
"(562, '2024-10-05', 'Bahn', 2, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-05 00:00:00,Bahn,2,277,40,75,,
"(560, '2024-10-07', 'LKW', 9, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-07 00:00:00,LKW,9,44,6,76,,
"(561, '2024-10-07', 'Bahn', 29, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-07 00:00:00,Bahn,29,266,38,77,,
"(562, '2024-10-07', 'Bahn', 54, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-07 00:00:00,Bahn,54,277,40,78,,
"(560, '2024-10-08', 'LKW', 9, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-08 00:00:00,LKW,9,44,6,79,,
"(561, '2024-10-08', 'Bahn', 17, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-08 00:00:00,Bahn,17,266,38,80,,
"(562, '2024-10-08', 'Bahn', 53, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-08 00:00:00,Bahn,53,277,40,81,,
"(560, '2024-10-09', 'LKW', 6, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-09 00:00:00,LKW,6,44,6,82,,
"(561, '2024-10-09', 'Bahn', 26, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-09 00:00:00,Bahn,26,266,38,83,,
"(562, '2024-10-09', 'Bahn', 37, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-09 00:00:00,Bahn,37,277,40,84,,
"(560, '2024-10-10', 'LKW', 10, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-10 00:00:00,LKW,10,44,6,85,,
"(561, '2024-10-10', 'Bahn', 16, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-10 00:00:00,Bahn,16,266,38,86,,
"(562, '2024-10-10', 'Bahn', 52, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-10 00:00:00,Bahn,52,277,40,87,,
"(560, '2024-10-11', 'LKW', 9, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-11 00:00:00,LKW,9,44,6,88,,
"(561, '2024-10-11', 'Bahn', 23, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-11 00:00:00,Bahn,23,266,38,89,,
"(562, '2024-10-11', 'Bahn', 29, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-11 00:00:00,Bahn,29,277,40,90,,
"(562, '2024-10-12', 'Bahn', 1, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-12 00:00:00,Bahn,1,277,40,91,,
"(560, '2024-10-14', 'LKW', 3, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-14 00:00:00,LKW,3,44,6,92,,
"(561, '2024-10-14', 'Bahn', 2, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-14 00:00:00,Bahn,2,266,38,93,,
"(562, '2024-10-14', 'Bahn', 20, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-14 00:00:00,Bahn,20,277,40,94,,
"(560, '2024-10-15', 'LKW', 9, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-15 00:00:00,LKW,9,44,6,95,,
"(561, '2024-10-15', 'Bahn', 5, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-15 00:00:00,Bahn,5,266,38,96,,
"(562, '2024-10-15', 'Bahn', 21, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-15 00:00:00,Bahn,21,277,40,97,,
"(560, '2024-10-16', 'LKW', 1, 44, 6),",560,SVKBTS001,DEUNDS001,2024-10-16 00:00:00,LKW,1,44,6,98,,
"(561, '2024-10-16', 'Bahn', 2, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-16 00:00:00,Bahn,2,266,38,99,,
"(562, '2024-10-16', 'Bahn', 9, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-16 00:00:00,Bahn,9,277,40,100,,
"(562, '2024-10-17', 'Bahn', 1, 277, 40),",562,SVKBTS001,DEUULZ001,2024-10-17 00:00:00,Bahn,1,277,40,101,,
"(561, '2024-10-23', 'Bahn', 1, 266, 38),",561,SVKBTS001,DEURKW001,2024-10-23 00:00:00,Bahn,1,266,38,102,,
"(559, '2024-09-17', 'Ship', 809, 0, 0),",559,PRTSET001,DEUEME002,2024-09-17 00:00:00,Ship,809,0,0,103,,
"(559, '2024-09-18', 'Ship', 1241, 0, 0),",559,PRTSET001,DEUEME002,2024-09-18 00:00:00,Ship,1241,0,0,104,,
"(559, '2024-09-19', 'Ship', 1079, 0, 0),",559,PRTSET001,DEUEME002,2024-09-19 00:00:00,Ship,1079,0,0,105,,
"(559, '2024-09-20', 'Ship', 521, 0, 0),",559,PRTSET001,DEUEME002,2024-09-20 00:00:00,Ship,521,0,0,106,,
"(559, '2024-09-21', 'Ship', 141, 0, 0),",559,PRTSET001,DEUEME002,2024-09-21 00:00:00,Ship,141,0,0,107,,
"(559, '2024-09-22', 'Ship', 164, 0, 0),",559,PRTSET001,DEUEME002,2024-09-22 00:00:00,Ship,164,0,0,108,,
"(559, '2024-09-23', 'Ship', 339, 0, 0),",559,PRTSET001,DEUEME002,2024-09-23 00:00:00,Ship,339,0,0,109,,
"(559, '2024-09-24', 'Ship', 359, 0, 0),",559,PRTSET001,DEUEME002,2024-09-24 00:00:00,Ship,359,0,0,110,,
"(559, '2024-09-25', 'Ship', 421, 0, 0),",559,PRTSET001,DEUEME002,2024-09-25 00:00:00,Ship,421,0,0,111,,
"(559, '2024-09-26', 'Ship', 470, 0, 0),",559,PRTSET001,DEUEME002,2024-09-26 00:00:00,Ship,470,0,0,112,,
"(559, '2024-09-27', 'Ship', 426, 0, 0),",559,PRTSET001,DEUEME002,2024-09-27 00:00:00,Ship,426,0,0,113,,
"(559, '2024-09-28', 'Ship', 230, 0, 0),",559,PRTSET001,DEUEME002,2024-09-28 00:00:00,Ship,230,0,0,114,,
"(559, '2024-09-29', 'Ship', 286, 0, 0),",559,PRTSET001,DEUEME002,2024-09-29 00:00:00,Ship,286,0,0,115,,
"(559, '2024-09-30', 'Ship', 330, 0, 0),",559,PRTSET001,DEUEME002,2024-09-30 00:00:00,Ship,330,0,0,116,,
"(559, '2024-10-01', 'Ship', 127, 0, 0),",559,PRTSET001,DEUEME002,2024-10-01 00:00:00,Ship,127,0,0,117,,
"(559, '2024-10-02', 'Ship', 376, 0, 0),",559,PRTSET001,DEUEME002,2024-10-02 00:00:00,Ship,376,0,0,118,,
"(559, '2024-10-03', 'Ship', 408, 0, 0),",559,PRTSET001,DEUEME002,2024-10-03 00:00:00,Ship,408,0,0,119,,
"(559, '2024-10-04', 'Ship', 326, 0, 0),",559,PRTSET001,DEUEME002,2024-10-04 00:00:00,Ship,326,0,0,120,,
"(559, '2024-10-05', 'Ship', 273, 0, 0),",559,PRTSET001,DEUEME002,2024-10-05 00:00:00,Ship,273,0,0,121,,
"(559, '2024-10-06', 'Ship', 219, 0, 0),",559,PRTSET001,DEUEME002,2024-10-06 00:00:00,Ship,219,0,0,122,,
"(559, '2024-10-07', 'Ship', 124, 0, 0),",559,PRTSET001,DEUEME002,2024-10-07 00:00:00,Ship,124,0,0,123,,
"(559, '2024-10-08', 'Ship', 148, 0, 0),",559,PRTSET001,DEUEME002,2024-10-08 00:00:00,Ship,148,0,0,124,,
"(559, '2024-10-09', 'Ship', 320, 0, 0),",559,PRTSET001,DEUEME002,2024-10-09 00:00:00,Ship,320,0,0,125,,
"(559, '2024-10-10', 'Ship', 388, 0, 0),",559,PRTSET001,DEUEME002,2024-10-10 00:00:00,Ship,388,0,0,126,,
"(559, '2024-10-11', 'Ship', 472, 0, 0),",559,PRTSET001,DEUEME002,2024-10-11 00:00:00,Ship,472,0,0,127,,
"(559, '2024-10-12', 'Ship', 266, 0, 0),",559,PRTSET001,DEUEME002,2024-10-12 00:00:00,Ship,266,0,0,128,,
"(559, '2024-10-13', 'Ship', 195, 0, 0),",559,PRTSET001,DEUEME002,2024-10-13 00:00:00,Ship,195,0,0,129,,
"(559, '2024-10-14', 'Ship', 148, 0, 0),",559,PRTSET001,DEUEME002,2024-10-14 00:00:00,Ship,148,0,0,130,,
"(559, '2024-10-15', 'Ship', 7, 0, 0),",559,PRTSET001,DEUEME002,2024-10-15 00:00:00,Ship,7,0,0,131,,
"(559, '2024-10-16', 'Ship', 186, 0, 0),",559,PRTSET001,DEUEME002,2024-10-16 00:00:00,Ship,186,0,0,132,,
"(559, '2024-10-17', 'Ship', 21, 0, 0),",559,PRTSET001,DEUEME002,2024-10-17 00:00:00,Ship,21,0,0,133,,
"(536, '2024-09-17', 'Bahn', 2, 12, 2),",536,POLWSN001,DEUBRV001,2024-09-17 00:00:00,Bahn,2,12,2,134,,
"(537, '2024-09-17', 'LKW', 1, 21, 3),",537,POLWSN001,DEUCAN001,2024-09-17 00:00:00,LKW,1,21,3,135,,
"(538, '2024-09-17', 'Bahn', 1, 41, 6),",538,POLWSN001,DEUDAR001,2024-09-17 00:00:00,Bahn,1,41,6,136,,
"(539, '2024-09-17', 'Bahn', 4, 170, 24),",539,POLWSN001,DEUEME002,2024-09-17 00:00:00,Bahn,4,170,24,137,,
"(540, '2024-09-17', 'Bahn', 1, 541, 77),",540,POLWSN001,DEUEME003,2024-09-17 00:00:00,Bahn,1,541,77,138,,
"(541, '2024-09-17', 'LKW', 2, 42, 6),",541,POLWSN001,DEUESS001,2024-09-17 00:00:00,LKW,2,42,6,139,,
"(542, '2024-09-17', 'LKW', 10, 38, 5),",542,POLWSN001,DEUFAB001,2024-09-17 00:00:00,LKW,10,38,5,140,,
"(543, '2024-09-17', 'LKW', 5, 48, 7),",543,POLWSN001,DEUGHU001,2024-09-17 00:00:00,LKW,5,48,7,141,,
"(545, '2024-09-17', 'Bahn', 2, 96, 14),",545,POLWSN001,DEUHAM001,2024-09-17 00:00:00,Bahn,2,96,14,142,,
"(550, '2024-09-17', 'Bahn', 1, 0, 0),",550,POLWSN001,DEULEH001,2024-09-17 00:00:00,Bahn,1,0,0,143,,
"(551, '2024-09-17', 'LKW', 1, 44, 6),",551,POLWSN001,DEUNDS001,2024-09-17 00:00:00,LKW,1,44,6,144,,
"(553, '2024-09-17', 'LKW', 2, 7, 1),",553,POLWSN001,DEUNSS001,2024-09-17 00:00:00,LKW,2,7,1,145,,
"(554, '2024-09-17', 'LKW', 1, 36, 5),",554,POLWSN001,DEUNUE001,2024-09-17 00:00:00,LKW,1,36,5,146,,
"(555, '2024-09-17', 'Bahn', 8, 119, 17),",555,POLWSN001,DEUOSN002,2024-09-17 00:00:00,Bahn,8,119,17,147,,
"(537, '2024-09-18', 'LKW', 4, 21, 3),",537,POLWSN001,DEUCAN001,2024-09-18 00:00:00,LKW,4,21,3,148,,
"(538, '2024-09-18', 'Bahn', 3, 41, 6),",538,POLWSN001,DEUDAR001,2024-09-18 00:00:00,Bahn,3,41,6,149,,
"(539, '2024-09-18', 'Bahn', 14, 170, 24),",539,POLWSN001,DEUEME002,2024-09-18 00:00:00,Bahn,14,170,24,150,,
"(540, '2024-09-18', 'Bahn', 89, 541, 77),",540,POLWSN001,DEUEME003,2024-09-18 00:00:00,Bahn,89,541,77,151,,
"(541, '2024-09-18', 'LKW', 4, 42, 6),",541,POLWSN001,DEUESS001,2024-09-18 00:00:00,LKW,4,42,6,152,,
"(542, '2024-09-18', 'LKW', 22, 38, 5),",542,POLWSN001,DEUFAB001,2024-09-18 00:00:00,LKW,22,38,5,153,,
"(543, '2024-09-18', 'LKW', 11, 48, 7),",543,POLWSN001,DEUGHU001,2024-09-18 00:00:00,LKW,11,48,7,154,,
"(545, '2024-09-18', 'Bahn', 3, 96, 14),",545,POLWSN001,DEUHAM001,2024-09-18 00:00:00,Bahn,3,96,14,155,,
"(546, '2024-09-18', 'LKW', 7, 59, 8),",546,POLWSN001,DEUILG001,2024-09-18 00:00:00,LKW,7,59,8,156,,
"(547, '2024-09-18', 'LKW', 6, 10, 1),",547,POLWSN001,DEUKIP001,2024-09-18 00:00:00,LKW,6,10,1,157,,
"(551, '2024-09-18', 'LKW', 3, 44, 6),",551,POLWSN001,DEUNDS001,2024-09-18 00:00:00,LKW,3,44,6,158,,
"(553, '2024-09-18', 'LKW', 4, 7, 1),",553,POLWSN001,DEUNSS001,2024-09-18 00:00:00,LKW,4,7,1,159,,
"(554, '2024-09-18', 'LKW', 12, 36, 5),",554,POLWSN001,DEUNUE001,2024-09-18 00:00:00,LKW,12,36,5,160,,
"(555, '2024-09-18', 'Bahn', 7, 119, 17),",555,POLWSN001,DEUOSN002,2024-09-18 00:00:00,Bahn,7,119,17,161,,
"(557, '2024-09-18', 'Ship', 10, 60, 9),",557,POLWSN001,DEUWLZ001,2024-09-18 00:00:00,Ship,10,60,9,162,,
"(537, '2024-09-19', 'LKW', 6, 21, 3),",537,POLWSN001,DEUCAN001,2024-09-19 00:00:00,LKW,6,21,3,163,,
"(538, '2024-09-19', 'Bahn', 13, 41, 6),",538,POLWSN001,DEUDAR001,2024-09-19 00:00:00,Bahn,13,41,6,164,,
"(539, '2024-09-19', 'Bahn', 18, 170, 24),",539,POLWSN001,DEUEME002,2024-09-19 00:00:00,Bahn,18,170,24,165,,
"(540, '2024-09-19', 'Bahn', 69, 541, 77),",540,POLWSN001,DEUEME003,2024-09-19 00:00:00,Bahn,69,541,77,166,,
"(541, '2024-09-19', 'LKW', 7, 42, 6),",541,POLWSN001,DEUESS001,2024-09-19 00:00:00,LKW,7,42,6,167,,
"(542, '2024-09-19', 'LKW', 6, 38, 5),",542,POLWSN001,DEUFAB001,2024-09-19 00:00:00,LKW,6,38,5,168,,
"(543, '2024-09-19', 'LKW', 12, 48, 7),",543,POLWSN001,DEUGHU001,2024-09-19 00:00:00,LKW,12,48,7,169,,
"(544, '2024-09-19', 'LKW', 3, 8, 1),",544,POLWSN001,DEUGIG001,2024-09-19 00:00:00,LKW,3,8,1,170,,
"(545, '2024-09-19', 'Bahn', 3, 96, 14),",545,POLWSN001,DEUHAM001,2024-09-19 00:00:00,Bahn,3,96,14,171,,
"(546, '2024-09-19', 'LKW', 3, 59, 8),",546,POLWSN001,DEUILG001,2024-09-19 00:00:00,LKW,3,59,8,172,,
"(547, '2024-09-19', 'LKW', 2, 10, 1),",547,POLWSN001,DEUKIP001,2024-09-19 00:00:00,LKW,2,10,1,173,,
"(548, '2024-09-19', 'Ship', 1, 0, 0),",548,POLWSN001,DEUKT2001,2024-09-19 00:00:00,Ship,1,0,0,174,,
"(551, '2024-09-19', 'LKW', 5, 44, 6),",551,POLWSN001,DEUNDS001,2024-09-19 00:00:00,LKW,5,44,6,175,,
"(553, '2024-09-19', 'LKW', 10, 7, 1),",553,POLWSN001,DEUNSS001,2024-09-19 00:00:00,LKW,10,7,1,176,,
"(554, '2024-09-19', 'LKW', 5, 36, 5),",554,POLWSN001,DEUNUE001,2024-09-19 00:00:00,LKW,5,36,5,177,,
"(555, '2024-09-19', 'Bahn', 16, 119, 17),",555,POLWSN001,DEUOSN002,2024-09-19 00:00:00,Bahn,16,119,17,178,,
"(556, '2024-09-19', 'LKW', 1, 2, 0),",556,POLWSN001,DEURDN001,2024-09-19 00:00:00,LKW,1,2,0,179,,
"(557, '2024-09-19', 'Ship', 6, 60, 9),",557,POLWSN001,DEUWLZ001,2024-09-19 00:00:00,Ship,6,60,9,180,,
"(537, '2024-09-20', 'LKW', 3, 21, 3),",537,POLWSN001,DEUCAN001,2024-09-20 00:00:00,LKW,3,21,3,181,,
"(539, '2024-09-20', 'Bahn', 27, 170, 24),",539,POLWSN001,DEUEME002,2024-09-20 00:00:00,Bahn,27,170,24,182,,
"(540, '2024-09-20', 'Bahn', 20, 541, 77),",540,POLWSN001,DEUEME003,2024-09-20 00:00:00,Bahn,20,541,77,183,,
"(541, '2024-09-20', 'LKW', 18, 42, 6),",541,POLWSN001,DEUESS001,2024-09-20 00:00:00,LKW,18,42,6,184,,
"(542, '2024-09-20', 'LKW', 10, 38, 5),",542,POLWSN001,DEUFAB001,2024-09-20 00:00:00,LKW,10,38,5,185,,
"(543, '2024-09-20', 'LKW', 7, 48, 7),",543,POLWSN001,DEUGHU001,2024-09-20 00:00:00,LKW,7,48,7,186,,
