Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DEUEME002,Emden - Außenhafen,61,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"('DEU22P10 L','Hemau',2222,11.7824249,49.0517889,'User 4','Saturday-03-20', 'Friday-08-29', 7,8, 'Germany'),",DEU22P10 L,Hemau,2222,668,11.7824249,49.0517889,User 4,2021-03-20 00:00:00,2025-08-29 00:00:00,7,8,Germany,,ORIGINAL,22,,,,,
"('DEU22P46 L','Ingolstadt-Probfeld/Karlskorn',2222,11.435272,48.704139,'User 5','Sunday-10-17', 'Tuesday-10-26', 2,7, 'Germany'),",DEU22P46 L,Ingolstadt-Probfeld/Karlskorn,2222,407,11.435272,48.704139,User 5,2021-10-17 00:00:00,2027-10-26 00:00:00,2,7,Germany,,ORIGINAL,23,,,,,
"('DEU22P69 L','Schwandorf',366,12.1092708,49.3261854,'User 6','Thursday-12-10', 'Thursday-10-19', 7,10, 'Germany'),",DEU22P69 L,Schwandorf,366,-36,12.1092708,49.3261854,User 6,2020-12-10 00:00:00,2028-10-19 00:00:00,7,10,Germany,,ORIGINAL,24,,,,,
"('DEU240   B','ZBH ALIGSE',2000,9.9748557,52.3749334,'User 7','Wednesday-12-20', 'Saturday-10-20', 10,6, 'Germany'),",DEU240   B,ZBH ALIGSE,2000,2,9.9748557,52.3749334,User 7,2023-12-20 00:00:00,2029-10-20 00:00:00,10,6,Germany,,ORIGINAL,25,,,,,
"('DEU340   B','ZBH HESSISCH-LICHTENAU',8,9.7517183,51.1927404,'User 8','Sunday-03-01', 'Tuesday-08-07', 2,6, 'Germany'),",DEU340   B,ZBH HESSISCH-LICHTENAU,8,7,9.7517183,51.1927404,User 8,2020-03-01 00:00:00,2029-08-07 00:00:00,2,6,Germany,,ORIGINAL,26,,,,,
"('DEU3799  L','Dodendorf',5000,11.6131033,52.0394254,'User 9','Wednesday-04-29', 'Friday-03-20', 6,1, 'Germany'),",DEU3799  L,Dodendorf,5000,1,11.6131033,52.0394254,User 9,2020-04-29 00:00:00,2026-03-20 00:00:00,6,1,Germany,,ORIGINAL,27,,,,,
"('DEU520   N','NAHBEREICH EMDEN',420,7.2058304,53.3670541,'User 1','Saturday-05-15', 'Wednesday-05-15', 6,5, 'Germany'),",DEU520   N,NAHBEREICH EMDEN,420,159,7.2058304,53.3670541,User 1,2021-05-15 00:00:00,2030-05-15 00:00:00,6,5,Germany,,ORIGINAL,28,,,,,
"('DEU530   N','RESERVIERT FUER AUSRUESTER-DIR',3000,7.2058304,53.3670541,'User 2','Thursday-11-09', 'Wednesday-05-27', 8,7, 'Germany'),",DEU530   N,RESERVIERT FUER AUSRUESTER-DIR,3000,0,7.2058304,53.3670541,User 2,2023-11-09 00:00:00,2026-05-27 00:00:00,8,7,Germany,,ORIGINAL,29,,,,,
"('DEU620   B','ZBH FRANKFURT-GRIESHEIM',8,8.6078631,50.0914289,'User 3','Tuesday-02-22', 'Monday-07-31', 3,1, 'Germany'),",DEU620   B,ZBH FRANKFURT-GRIESHEIM,8,6,8.6078631,50.0914289,User 3,2022-02-22 00:00:00,2028-07-31 00:00:00,3,1,Germany,,ORIGINAL,30,,,,,
"('DEU620   N','VOLKSWAGEN LOGISTICS',3000,7.2058304,53.3670541,'User 4','Monday-10-10', 'Friday-12-10', 3,7, 'Germany'),",DEU620   N,VOLKSWAGEN LOGISTICS,3000,0,7.2058304,53.3670541,User 4,2022-10-10 00:00:00,2027-12-10 00:00:00,3,7,Germany,,ORIGINAL,31,,,,,
"('DEU68024 L','ALIGSE F. DIREKTGESCH. EUROPA',2000,9.9748557,52.3749334,'User 5','Tuesday-12-01', 'Tuesday-02-04', 5,5, 'Germany'),",DEU68024 L,ALIGSE F. DIREKTGESCH. EUROPA,2000,0,9.9748557,52.3749334,User 5,2020-12-01 00:00:00,2025-02-04 00:00:00,5,5,Germany,,ORIGINAL,32,,,,,
"('DEU700Y  H','Hamburg ',2000,10.000654,53.550341,'User 6','Sunday-09-25', 'Saturday-02-09', 8,9, 'Germany'),",DEU700Y  H,Hamburg ,2000,-535,10.000654,53.550341,User 6,2022-09-25 00:00:00,2030-02-09 00:00:00,8,9,Germany,,ORIGINAL,33,,,,,
"('DEU7071  H','Lübeck ',3500,10.684738,53.866444,'User 7','Tuesday-12-27', 'Tuesday-01-23', 3,10, 'Germany'),",DEU7071  H,Lübeck ,3500,168,10.684738,53.866444,User 7,2022-12-27 00:00:00,2029-01-23 00:00:00,3,10,Germany,,ORIGINAL,34,,,,,
"('DEU70DUE L','DUEREN, DC KONSOLIDIERUNGSPL.',0,6.4820806,50.8031684,'User 8','Sunday-11-21', 'Saturday-10-23', 4,5, 'Germany'),",DEU70DUE L,"DUEREN, DC KONSOLIDIERUNGSPL.",0,0,6.4820806,50.8031684,User 8,2021-11-21 00:00:00,2027-10-23 00:00:00,4,5,Germany,,ORIGINAL,35,,,,,
"('DEU780   B','VOLKSWAGEN LOGISTICS',2500,12.5397873,50.8199031,'User 9','Monday-08-31', 'Sunday-01-27', 3,8, 'Germany'),",DEU780   B,VOLKSWAGEN LOGISTICS,2500,1411,12.5397873,50.8199031,User 9,2020-08-31 00:00:00,2030-01-27 00:00:00,3,8,Germany,,ORIGINAL,36,,,,,
"('DEU78055 L','GLAUCHAU F. DIREKTGESCH. AVIS',2500,12.5397873,50.8199031,'User 1','Sunday-05-28', 'Saturday-03-29', 9,5, 'Germany'),",DEU78055 L,GLAUCHAU F. DIREKTGESCH. AVIS,2500,0,12.5397873,50.8199031,User 1,2023-05-28 00:00:00,2025-03-29 00:00:00,9,5,Germany,,ORIGINAL,37,,,,,
"('DEU790   B','Behörden und Sondertransporte Volkswagen Werk Wolfsburg',314,10.7861682,52.4205588,'User 2','Wednesday-09-20', 'Saturday-06-29', 10,8, 'Germany'),",DEU790   B,Behörden und Sondertransporte Volkswagen Werk Wolfsburg,314,159,10.7861682,52.4205588,User 2,2023-09-20 00:00:00,2030-06-29 00:00:00,10,8,Germany,,ORIGINAL,38,,,,,
"('DEU81024 L','ALIGSE FUER EUROPCAR',2000,9.9748557,52.3749334,'User 3','Thursday-09-15', 'Sunday-05-19', 2,2, 'Germany'),",DEU81024 L,ALIGSE FUER EUROPCAR,2000,0,9.9748557,52.3749334,User 3,2022-09-15 00:00:00,2030-05-19 00:00:00,2,2,Germany,,ORIGINAL,39,,,,,
"('DEU83024 L','ALIGSE F. DIREKTGESCH. SIXT',2000,9.9748557,52.3749334,'User 4','Friday-12-15', 'Thursday-04-25', 7,4, 'Germany'),",DEU83024 L,ALIGSE F. DIREKTGESCH. SIXT,2000,0,9.9748557,52.3749334,User 4,2023-12-15 00:00:00,2030-04-25 00:00:00,7,4,Germany,,ORIGINAL,40,,,,,
"('DEU850   B','AUTOVERMIETER AVIS, ETZIN',13368,12.855098,52.5191107,'User 5','Tuesday-05-25', 'Monday-09-04', 7,2, 'Germany'),",DEU850   B,"AUTOVERMIETER AVIS, ETZIN",13368,12152,12.855098,52.5191107,User 5,2021-05-25 00:00:00,2028-09-04 00:00:00,7,2,Germany,,ORIGINAL,41,,,,,
"('DEU85016 L','ETZIN F. DIREKTGESCH. AVIS',0,12.855098,52.5191107,'User 6','Tuesday-01-31', 'Saturday-03-01', 6,2, 'Germany'),",DEU85016 L,ETZIN F. DIREKTGESCH. AVIS,0,0,12.855098,52.5191107,User 6,2023-01-31 00:00:00,2025-03-01 00:00:00,6,2,Germany,,ORIGINAL,42,,,,,
"('DEUBIE001','Biebesheim - Frankenbach',500,8.47404,49.78732,'User 7','Wednesday-06-09', 'Monday-10-02', 3,6, 'Germany'),",DEUBIE001,Biebesheim - Frankenbach,500,573,8.47404,49.78732,User 7,2021-06-09 00:00:00,2028-10-02 00:00:00,3,6,Germany,,ORIGINAL,43,,,,,
"('DEUBRE001','Bremen - CAT',0,8.59007454520526,53.1757552,'User 8','Friday-10-07', 'Saturday-01-15', 8,4, 'Germany'),",DEUBRE001,Bremen - CAT,0,0,8.59007454520526,53.1757552,User 8,2022-10-07 00:00:00,2028-01-15 00:00:00,8,4,Germany,,ORIGINAL,44,,,,,
"('DEUBRE002','Bremen - BLG',0,8.71136637994325,53.09771065,'User 9','Thursday-12-07', 'Monday-06-26', 9,5, 'Germany'),",DEUBRE002,Bremen - BLG,0,0,8.71136637994325,53.09771065,User 9,2023-12-07 00:00:00,2028-06-26 00:00:00,9,5,Germany,,ORIGINAL,45,,,,,
"('DEUBRV001','Bremerhaven - BLG',22254,8.57301,53.57832,'User 1','Saturday-12-30', 'Thursday-11-28', 5,5, 'Germany'),",DEUBRV001,Bremerhaven - BLG,22254,8561,8.57301,53.57832,User 1,2023-12-30 00:00:00,2030-11-28 00:00:00,5,5,Germany,,ORIGINAL,46,,,,,
"('DEUBRV002','Bremerhaven (Autotor Nord) - BLG',2191,8.5521556,53.5857143,'User 2','Sunday-07-24', 'Monday-04-09', 2,3, 'Germany'),",DEUBRV002,Bremerhaven (Autotor Nord) - BLG,2191,-1751,8.5521556,53.5857143,User 2,2022-07-24 00:00:00,2029-04-09 00:00:00,2,3,Germany,,ORIGINAL,47,,,,,
"('DEUBTL001','Baunatal (Kassel) - Werk',2528,9.436,51.26065,'User 3','Tuesday-07-21', 'Sunday-06-22', 4,5, 'Germany'),",DEUBTL001,Baunatal (Kassel) - Werk,2528,136,9.436,51.26065,User 3,2020-07-21 00:00:00,2025-06-22 00:00:00,4,5,Germany,,ORIGINAL,48,,,,,
"('DEUCAN001','Calden - DP Trading',1971,9.37583,51.40303,'User 4','Wednesday-10-06', 'Wednesday-11-29', 3,3, 'Germany'),",DEUCAN001,Calden - DP Trading,1971,1289,9.37583,51.40303,User 4,2021-10-06 00:00:00,2028-11-29 00:00:00,3,3,Germany,,ORIGINAL,49,,,,,
"('DEUCUX001','Cuxhaven - Cuxport',3000,8.72052989999999,53.86237085,'User 5','Friday-05-07', 'Thursday-10-18', 10,9, 'Germany'),",DEUCUX001,Cuxhaven - Cuxport,3000,40,8.72052989999999,53.86237085,User 5,2021-05-07 00:00:00,2029-10-18 00:00:00,10,9,Germany,,ORIGINAL,50,,,,,
"('DEUCUX002','Cuxhaven - BLG',3000,8.72047,53.85896,'User 6','Tuesday-06-20', 'Tuesday-02-08', 7,2, 'Germany'),",DEUCUX002,Cuxhaven - BLG,3000,1520,8.72047,53.85896,User 6,2023-06-20 00:00:00,2028-02-08 00:00:00,7,2,Germany,,ORIGINAL,51,,,,,
"('DEUDAR001','Darmstadt - R+H',3200,8.62685566228991,49.8803001999999,'User 7','Monday-11-27', 'Thursday-07-30', 8,4, 'Germany'),",DEUDAR001,Darmstadt - R+H,3200,1692,8.62685566228991,49.8803001999999,User 7,2023-11-27 00:00:00,2026-07-30 00:00:00,8,4,Germany,,ORIGINAL,52,,,,,
"('DEUDAR002','Darmstadt - Carmago',0,8.680371,49.895122,'User 8','Wednesday-03-29', 'Monday-09-29', 5,8, 'Germany'),",DEUDAR002,Darmstadt - Carmago,0,0,8.680371,49.895122,User 8,2023-03-29 00:00:00,2025-09-29 00:00:00,5,8,Germany,,ORIGINAL,53,,,,,
"('DEUDD    K','DEUTSCHLAND, EMDEN (AL MOSOLF)',3000,7.2058304,53.3670541,'User 9','Tuesday-03-17', 'Monday-04-17', 6,2, 'Germany'),",DEUDD    K,"DEUTSCHLAND, EMDEN (AL MOSOLF)",3000,0,7.2058304,53.3670541,User 9,2020-03-17 00:00:00,2028-04-17 00:00:00,6,2,Germany,,ORIGINAL,54,,,,,
"('DEUDRS001','Dresden - Gläserne Manufaktur',8056,13.75303,51.04402,'User 1','Sunday-05-30', 'Friday-08-21', 4,2, 'Germany'),",DEUDRS001,Dresden - Gläserne Manufaktur,8056,5425,13.75303,51.04402,User 1,2021-05-30 00:00:00,2026-08-21 00:00:00,4,2,Germany,,ORIGINAL,55,,,,,
"('DEUDUE001','Düren - CAT',0,6.5030575,50.7885179,'User 2','Sunday-02-12', 'Friday-07-02', 7,8, 'Germany'),",DEUDUE001,Düren - CAT,0,0,6.5030575,50.7885179,User 2,2023-02-12 00:00:00,2027-07-02 00:00:00,7,8,Germany,,ORIGINAL,56,,,,,
"('DEUDUI001','Duisburg - BLG',4014,6.73559,51.40057,'User 3','Friday-06-05', 'Saturday-01-29', 1,3, 'Germany'),",DEUDUI001,Duisburg - BLG,4014,1892,6.73559,51.40057,User 3,2020-06-05 00:00:00,2028-01-29 00:00:00,1,3,Germany,,ORIGINAL,57,,,,,
"('DEUEGI001','St. Egidien - Volkswagen',2222,12.6198522,50.7921734,'User 4','Saturday-04-30', 'Wednesday-08-30', 3,1, 'Germany'),",DEUEGI001,St. Egidien - Volkswagen,2222,14,12.6198522,50.7921734,User 4,2022-04-30 00:00:00,2028-08-30 00:00:00,3,1,Germany,,ORIGINAL,58,,,,,
"('DEUEMD   L','ALM EMDEN',3000,7.2058304,53.3670541,'User 5','Monday-04-12', 'Friday-09-06', 10,1, 'Germany'),",DEUEMD   L,ALM EMDEN,3000,0,7.2058304,53.3670541,User 5,2021-04-12 00:00:00,2030-09-06 00:00:00,10,1,Germany,,ORIGINAL,59,,,,,
"('DEUEME001','Emden - Werk',11619,7.16983,53.35271,'User 6','Wednesday-06-15', 'Tuesday-10-07', 9,10, 'Germany'),",DEUEME001,Emden - Werk,11619,13345,7.16983,53.35271,User 6,2022-06-15 00:00:00,2025-10-07 00:00:00,9,10,Germany,,ORIGINAL,60,,,53.35271,7.16983,
"('DEUEME002','Emden - Außenhafen',44650,7.17683,53.33672,'User 7','Sunday-09-11', 'Monday-12-22', 9,9, 'Germany'),",DEUEME002,Emden - Außenhafen,44650,16953,7.17683,53.33672,User 7,2022-09-11 00:00:00,2025-12-22 00:00:00,9,9,Germany,,ORIGINAL,61,j1,0,INI,53.33672,7.17683
"('DEUEME003','Emden - Binnenhafen',10300,7.2088,53.34623,'User 8','Tuesday-03-22', 'Friday-11-24', 1,3, 'Germany'),",DEUEME003,Emden - Binnenhafen,10300,5171,7.2088,53.34623,User 8,2022-03-22 00:00:00,2028-11-24 00:00:00,1,3,Germany,,ORIGINAL,62,,,,,
"('DEUEME004','Emden - Werk Halle 10',3000,7.18213,53.34785,'User 9','Thursday-07-08', 'Thursday-06-27', 5,10, 'Germany'),",DEUEME004,Emden - Werk Halle 10,3000,2542,7.18213,53.34785,User 9,2021-07-08 00:00:00,2030-06-27 00:00:00,5,10,Germany,,ORIGINAL,63,,,,,
"('DEUEME005','Emden - Dirks',3000,7.1810426,53.341078,'User 1','Wednesday-01-26', 'Monday-03-26', 1,8, 'Germany'),",DEUEME005,Emden - Dirks,3000,0,7.1810426,53.341078,User 1,2022-01-26 00:00:00,2029-03-26 00:00:00,1,8,Germany,,ORIGINAL,64,,,,,
"('DEUEME006','Emden - Weets',1995,7.20358438530303,53.345293,'User 2','Saturday-10-09', 'Friday-08-14', 7,6, 'Germany'),",DEUEME006,Emden - Weets,1995,1731,7.20358438530303,53.345293,User 2,2021-10-09 00:00:00,2026-08-14 00:00:00,7,6,Germany,,ORIGINAL,65,,,,,
"('DEUESS001','Essen - Helf',4500,7.02835,51.4988,'User 3','Tuesday-01-11', 'Wednesday-06-02', 2,6, 'Germany'),",DEUESS001,Essen - Helf,4500,2710,7.02835,51.4988,User 3,2022-01-11 00:00:00,2027-06-02 00:00:00,2,6,Germany,,ORIGINAL,66,,,,,
"('DEUFAB001','Wolfsburg (MLW Fallersleben) - Mosolf',3157,10.69512,52.42378,'User 4','Saturday-04-22', 'Sunday-11-15', 6,4, 'Germany'),",DEUFAB001,Wolfsburg (MLW Fallersleben) - Mosolf,3157,1567,10.69512,52.42378,User 4,2023-04-22 00:00:00,2026-11-15 00:00:00,6,4,Germany,,ORIGINAL,67,,,WOLF,52.42378,10.69512
"('DEUFLB001','Faulbach - Roos',2222,9.4626,49.77302,'User 5','Friday-07-24', 'Thursday-10-28', 5,5, 'Germany'),",DEUFLB001,Faulbach - Roos,2222,1161,9.4626,49.77302,User 5,2020-07-24 00:00:00,2027-10-28 00:00:00,5,5,Germany,,ORIGINAL,68,,,,,
"('DEUFUW001','Furth im Wald',4754,12.85,49.3199,'User 6','Saturday-06-06', 'Monday-07-20', 9,7, 'Germany'),",DEUFUW001,Furth im Wald,4754,1055,12.85,49.3199,User 6,2020-06-06 00:00:00,2026-07-20 00:00:00,9,7,Germany,,ORIGINAL,69,,,,,
"('DEUGHU001','Glauchau - SAT (Mosolf)',6622,12.540998,50.82845,'User 7','Saturday-01-08', 'Wednesday-06-19', 3,5, 'Germany'),",DEUGHU001,Glauchau - SAT (Mosolf),6622,2057,12.540998,50.82845,User 7,2022-01-08 00:00:00,2030-06-19 00:00:00,3,5,Germany,,ORIGINAL,70,,,,,
"('DEUGIG001','Ginsheim-Gustavsburg - Frankenbach',890,8.33922,49.99216,'User 8','Wednesday-03-17', 'Wednesday-06-18', 9,8, 'Germany'),",DEUGIG001,Ginsheim-Gustavsburg - Frankenbach,890,711,8.33922,49.99216,User 8,2021-03-17 00:00:00,2025-06-18 00:00:00,9,8,Germany,,ORIGINAL,71,,,,,
"('DEUGIZ001','Gößnitz - SAT (Mosolf)',1500,12.43075,50.90203,'User 9','Friday-10-20', 'Thursday-04-27', 1,9, 'Germany'),",DEUGIZ001,Gößnitz - SAT (Mosolf),1500,2034,12.43075,50.90203,User 9,2023-10-20 00:00:00,2028-04-27 00:00:00,1,9,Germany,,ORIGINAL,72,,,,,
"('DEUGME001','Großmehring - Roos',369,11.500039,48.740959,'User 1','Thursday-03-05', 'Tuesday-04-20', 9,4, 'Germany'),",DEUGME001,Großmehring - Roos,369,0,11.500039,48.740959,User 1,2020-03-05 00:00:00,2027-04-20 00:00:00,9,4,Germany,,ORIGINAL,73,,,,,
"('DEUGRM001','Griesheim - Carmago',0,8.5649021,49.8702707,'User 2','Sunday-02-28', 'Wednesday-06-23', 8,2, 'Germany'),",DEUGRM001,Griesheim - Carmago,0,0,8.5649021,49.8702707,User 2,2021-02-28 00:00:00,2027-06-23 00:00:00,8,2,Germany,,ORIGINAL,74,,,,,
"('DEUHAJ001','Hannover - Werk',11492,9.65624,52.41971,'User 3','Tuesday-12-29', 'Saturday-01-18', 10,6, 'Germany'),",DEUHAJ001,Hannover - Werk,11492,6676,9.65624,52.41971,User 3,2020-12-29 00:00:00,2025-01-18 00:00:00,10,6,Germany,,ORIGINAL,75,,,,,
"('DEUHAJ002','Hannover - Schwarze Heide',2222,9.64926,52.42712,'User 4','Thursday-05-28', 'Friday-11-01', 2,3, 'Germany'),",DEUHAJ002,Hannover - Schwarze Heide,2222,547,9.64926,52.42712,User 4,2020-05-28 00:00:00,2030-11-01 00:00:00,2,3,Germany,,ORIGINAL,76,,,,,
"('DEUHAJ003','Hannover - Camper Fertigung',106,9.6807784,52.3701789,'User 5','Thursday-09-03', 'Saturday-02-26', 7,9, 'Germany'),",DEUHAJ003,Hannover - Camper Fertigung,106,21,9.6807784,52.3701789,User 5,2020-09-03 00:00:00,2028-02-26 00:00:00,7,9,Germany,,ORIGINAL,77,,,,,
"('DEUHAJ004','Hannover - Heritage',175,9.68551366840265,52.36943335,'User 6','Sunday-12-11', 'Tuesday-02-05', 9,2, 'Germany'),",DEUHAJ004,Hannover - Heritage,175,9,9.68551366840265,52.36943335,User 6,2022-12-11 00:00:00,2030-02-05 00:00:00,9,2,Germany,,ORIGINAL,78,,,,,
