TABLE NAME,COLUM NAME,COLUM NAME.1,COLUM NAME.2,Unnamed: 4,Unnamed: 5,Unnamed: 6,COLUM NAME.3,Unnamed: 8
"(61, 15623, 'Tuesday-09-17'),",61,15623,2024-09-17 00:00:00,DEUEME002,44650,0,15623,2024-09-17 00:00:00
"(62, 4588, 'Tuesday-09-17'),",62,4588,2024-09-17 00:00:00,DEUEME003,10300,0,4588,2024-09-17 00:00:00
"(63, 2628, 'Tuesday-09-17'),",63,2628,2024-09-17 00:00:00,DEUEME004,3000,0,2628,2024-09-17 00:00:00
"(64, 0, 'Tuesday-09-17'),",64,0,2024-09-17 00:00:00,DEUEME005,3000,0,0,2024-09-17 00:00:00
"(65, 1731, 'Tuesday-09-17'),",65,1731,2024-09-17 00:00:00,DEUEME006,1995,0,1731,2024-09-17 00:00:00
"(66, 2835, 'Tuesday-09-17'),",66,2835,2024-09-17 00:00:00,DEUESS001,4500,0,2835,2024-09-17 00:00:00
"(67, 1720, 'Tuesday-09-17'),",67,1720,2024-09-17 00:00:00,DEUFAB001,3157,0,1720,2024-09-17 00:00:00
"(68, 1167, 'Tuesday-09-17'),",68,1167,2024-09-17 00:00:00,DEUFLB001,2222,0,1167,2024-09-17 00:00:00
"(69, 1099, 'Tuesday-09-17'),",69,1099,2024-09-17 00:00:00,DEUFUW001,4754,0,1099,2024-09-17 00:00:00
"(70, 2173, 'Tuesday-09-17'),",70,2173,2024-09-17 00:00:00,DEUGHU001,6622,0,2173,2024-09-17 00:00:00
"(71, 805, 'Tuesday-09-17'),",71,805,2024-09-17 00:00:00,DEUGIG001,890,0,805,2024-09-17 00:00:00
"(72, 2063, 'Tuesday-09-17'),",72,2063,2024-09-17 00:00:00,DEUGIZ001,1500,1,2063,2024-09-17 00:00:00
"(73, 0, 'Tuesday-09-17'),",73,0,2024-09-17 00:00:00,DEUGME001,369,0,0,2024-09-17 00:00:00
"(74, 0, 'Tuesday-09-17'),",74,0,2024-09-17 00:00:00,DEUGRM001,0,0,0,2024-09-17 00:00:00
"(75, 6404, 'Tuesday-09-17'),",75,6404,2024-09-17 00:00:00,DEUHAJ001,11492,0,6404,2024-09-17 00:00:00
"(76, 560, 'Tuesday-09-17'),",76,560,2024-09-17 00:00:00,DEUHAJ002,2222,0,560,2024-09-17 00:00:00
"(77, 21, 'Tuesday-09-17'),",77,21,2024-09-17 00:00:00,DEUHAJ003,106,0,21,2024-09-17 00:00:00
"(78, 9, 'Tuesday-09-17'),",78,9,2024-09-17 00:00:00,DEUHAJ004,175,0,9,2024-09-17 00:00:00
"(79, 2313, 'Tuesday-09-17'),",79,2313,2024-09-17 00:00:00,DEUHAM001,3000,0,2313,2024-09-17 00:00:00
"(80, 903, 'Tuesday-09-17'),",80,903,2024-09-17 00:00:00,DEUHAM002,2259,0,903,2024-09-17 00:00:00
"(81, 1, 'Tuesday-09-17'),",81,1,2024-09-17 00:00:00,DEUHEA001,0,1,1,2024-09-17 00:00:00
"(82, 86, 'Tuesday-09-17'),",82,86,2024-09-17 00:00:00,DEUHEN001,2222,0,86,2024-09-17 00:00:00
"(83, 2670, 'Tuesday-09-17'),",83,2670,2024-09-17 00:00:00,DEUHMA001,2222,1,2670,2024-09-17 00:00:00
"(84, 6935, 'Tuesday-09-17'),",84,6935,2024-09-17 00:00:00,DEUILG001,8140,0,6935,2024-09-17 00:00:00
"(85, 1462, 'Tuesday-09-17'),",85,1462,2024-09-17 00:00:00,DEUING001,5314,0,1462,2024-09-17 00:00:00
"(86, 6266, 'Tuesday-09-17'),",86,6266,2024-09-17 00:00:00,DEUKAK001,2222,1,6266,2024-09-17 00:00:00
"(87, 640, 'Tuesday-09-17'),",87,640,2024-09-17 00:00:00,DEUKAS001,2222,0,640,2024-09-17 00:00:00
"(88, 6395, 'Tuesday-09-17'),",88,6395,2024-09-17 00:00:00,DEUKIP001,5884,1,6395,2024-09-17 00:00:00
"(89, 550, 'Tuesday-09-17'),",89,550,2024-09-17 00:00:00,DEUKT2001,700,0,550,2024-09-17 00:00:00
"(90, -445, 'Tuesday-09-17'),",90,-445,2024-09-17 00:00:00,DEULBC001,3500,0,-445,2024-09-17 00:00:00
"(91, 424, 'Tuesday-09-17'),",91,424,2024-09-17 00:00:00,DEULBC002,3500,0,424,2024-09-17 00:00:00
"(92, 1, 'Tuesday-09-17'),",92,1,2024-09-17 00:00:00,DEULDX001,1500,0,1,2024-09-17 00:00:00
"(93, 1543, 'Tuesday-09-17'),",93,1543,2024-09-17 00:00:00,DEULEH001,2000,0,1543,2024-09-17 00:00:00
"(94, 1, 'Tuesday-09-17'),",94,1,2024-09-17 00:00:00,DEUMMD001,500,0,1,2024-09-17 00:00:00
"(95, 403, 'Tuesday-09-17'),",95,403,2024-09-17 00:00:00,DEUMUM001,2477,0,403,2024-09-17 00:00:00
"(96, 55, 'Tuesday-09-17'),",96,55,2024-09-17 00:00:00,DEUNBI001,1464,0,55,2024-09-17 00:00:00
"(97, 2027, 'Tuesday-09-17'),",97,2027,2024-09-17 00:00:00,DEUNDS001,2556,0,2027,2024-09-17 00:00:00
"(98, 22948, 'Tuesday-09-17'),",98,22948,2024-09-17 00:00:00,DEUNEM001,48129,0,22948,2024-09-17 00:00:00
"(99, 2670, 'Tuesday-09-17'),",99,2670,2024-09-17 00:00:00,DEUNSS001,4122,0,2670,2024-09-17 00:00:00
"(100, 869, 'Tuesday-09-17'),",100,869,2024-09-17 00:00:00,DEUNUE001,1460,0,869,2024-09-17 00:00:00
"(101, 573, 'Tuesday-09-17'),",101,573,2024-09-17 00:00:00,DEUOSN001,650,0,573,2024-09-17 00:00:00
"(102, 2282, 'Tuesday-09-17'),",102,2282,2024-09-17 00:00:00,DEUOSN002,3146,0,2282,2024-09-17 00:00:00
"(103, 1462, 'Tuesday-09-17'),",103,1462,2024-09-17 00:00:00,DEUOSN003,1605,0,1462,2024-09-17 00:00:00
"(104, 0, 'Tuesday-09-17'),",104,0,2024-09-17 00:00:00,DEUPOOL  L,0,0,0,2024-09-17 00:00:00
"(105, 12562, 'Tuesday-09-17'),",105,12562,2024-09-17 00:00:00,DEURDN001,15000,0,12562,2024-09-17 00:00:00
"(106, 1, 'Tuesday-09-17'),",106,1,2024-09-17 00:00:00,DEURDS001,3,0,1,2024-09-17 00:00:00
"(107, 10, 'Tuesday-09-17'),",107,10,2024-09-17 00:00:00,DEUREG001,0,1,10,2024-09-17 00:00:00
"(108, 40, 'Tuesday-09-17'),",108,40,2024-09-17 00:00:00,DEUREG002,9,1,40,2024-09-17 00:00:00
"(109, 16376, 'Tuesday-09-17'),",109,16376,2024-09-17 00:00:00,DEURKW001,20344,0,16376,2024-09-17 00:00:00
"(110, 6889, 'Tuesday-09-17'),",110,6889,2024-09-17 00:00:00,DEUSAR001,17222,0,6889,2024-09-17 00:00:00
"(111, -37, 'Tuesday-09-17'),",111,-37,2024-09-17 00:00:00,DEUSCF001,1487,0,-37,2024-09-17 00:00:00
"(112, 3, 'Tuesday-09-17'),",112,3,2024-09-17 00:00:00,DEUSRD001,2222,0,3,2024-09-17 00:00:00
"(113, 0, 'Tuesday-09-17'),",113,0,2024-09-17 00:00:00,DEUSTM001,35,0,0,2024-09-17 00:00:00
"(114, 0, 'Tuesday-09-17'),",114,0,2024-09-17 00:00:00,DEUUCH001,0,0,0,2024-09-17 00:00:00
"(115, 320, 'Tuesday-09-17'),",115,320,2024-09-17 00:00:00,DEUUEN001,2322,0,320,2024-09-17 00:00:00
"(116, 1458, 'Tuesday-09-17'),",116,1458,2024-09-17 00:00:00,DEUULZ001,5700,0,1458,2024-09-17 00:00:00
"(117, 1346, 'Tuesday-09-17'),",117,1346,2024-09-17 00:00:00,DEUWBW001,2222,0,1346,2024-09-17 00:00:00
"(118, 72, 'Tuesday-09-17'),",118,72,2024-09-17 00:00:00,DEUWDR001,3341,0,72,2024-09-17 00:00:00
"(119, 0, 'Tuesday-09-17'),",119,0,2024-09-17 00:00:00,DEUWIS001,0,0,0,2024-09-17 00:00:00
"(120, 2455, 'Tuesday-09-17'),",120,2455,2024-09-17 00:00:00,DEUWLZ001,3208,0,2455,2024-09-17 00:00:00
"(121, 15, 'Tuesday-09-17'),",121,15,2024-09-17 00:00:00,DEUWMO001,2222,0,15,2024-09-17 00:00:00
"(122, 5831, 'Tuesday-09-17'),",122,5831,2024-09-17 00:00:00,DEUWOB001 ,16508,0,5831,2024-09-17 00:00:00
"(123, 203, 'Tuesday-09-17'),",123,203,2024-09-17 00:00:00,DEUWVN001,2222,0,203,2024-09-17 00:00:00
"(124, 5913, 'Tuesday-09-17'),",124,5913,2024-09-17 00:00:00,DEUZET001,8184,0,5913,2024-09-17 00:00:00
"(125, 0, 'Tuesday-09-17'),",125,0,2024-09-17 00:00:00,DEUZUE001,0,0,0,2024-09-17 00:00:00
"(126, 2142, 'Tuesday-09-17'),",126,2142,2024-09-17 00:00:00,DEUZWI001,3433,0,2142,2024-09-17 00:00:00
"(127, 6576, 'Tuesday-09-17'),",127,6576,2024-09-17 00:00:00,DEUZWI002,9296,0,6576,2024-09-17 00:00:00
"(128, 5, 'Tuesday-09-17'),",128,5,2024-09-17 00:00:00,DEUZWI003,500,0,5,2024-09-17 00:00:00
"(1, 52, 'Wednesday-09-18'),",1,52,2024-09-18 00:00:00,DEU010   B,2222,0,52,2024-09-18 00:00:00
"(2, 5, 'Wednesday-09-18'),",2,5,2024-09-18 00:00:00,DEU0111  B,22834,0,5,2024-09-18 00:00:00
"(3, 0, 'Wednesday-09-18'),",3,0,2024-09-18 00:00:00,DEU07024 L,2000,0,0,2024-09-18 00:00:00
"(4, 484, 'Wednesday-09-18'),",4,484,2024-09-18 00:00:00,DEU110071L,2222,0,484,2024-09-18 00:00:00
"(5, 2, 'Wednesday-09-18'),",5,2,2024-09-18 00:00:00,DEU1120  L,0,1,2,2024-09-18 00:00:00
"(6, 0, 'Wednesday-09-18'),",6,0,2024-09-18 00:00:00,DEU1162  L,3000,0,0,2024-09-18 00:00:00
"(7, 9, 'Wednesday-09-18'),",7,9,2024-09-18 00:00:00,DEU1206  L,327,0,9,2024-09-18 00:00:00
"(8, -131, 'Wednesday-09-18'),",8,-131,2024-09-18 00:00:00,DEU1299  L,296,0,-131,2024-09-18 00:00:00
"(9, 1, 'Wednesday-09-18'),",9,1,2024-09-18 00:00:00,DEU1401  L,6,0,1,2024-09-18 00:00:00
"(10, 1, 'Wednesday-09-18'),",10,1,2024-09-18 00:00:00,DEU1420  L,2222,0,1,2024-09-18 00:00:00
"(11, 0, 'Wednesday-09-18'),",11,0,2024-09-18 00:00:00,DEU1504  L,5000,0,0,2024-09-18 00:00:00
"(12, -2, 'Wednesday-09-18'),",12,-2,2024-09-18 00:00:00,DEU1543  L,1500,0,-2,2024-09-18 00:00:00
"(13, -2, 'Wednesday-09-18'),",13,-2,2024-09-18 00:00:00,DEU1544  L,500,0,-2,2024-09-18 00:00:00
"(14, 0, 'Wednesday-09-18'),",14,0,2024-09-18 00:00:00,DEU1702  L,0,0,0,2024-09-18 00:00:00
"(15, 1, 'Wednesday-09-18'),",15,1,2024-09-18 00:00:00,DEU2120  L,0,1,1,2024-09-18 00:00:00
"(16, 2, 'Wednesday-09-18'),",16,2,2024-09-18 00:00:00,DEU2181  L,0,1,2,2024-09-18 00:00:00
"(17, 208, 'Wednesday-09-18'),",17,208,2024-09-18 00:00:00,DEU21K01 L,2222,0,208,2024-09-18 00:00:00
"(18, 650, 'Wednesday-09-18'),",18,650,2024-09-18 00:00:00,DEU21P05 L,2222,0,650,2024-09-18 00:00:00
"(19, 3, 'Wednesday-09-18'),",19,3,2024-09-18 00:00:00,DEU21P20 L,2222,0,3,2024-09-18 00:00:00
"(20, 8, 'Wednesday-09-18'),",20,8,2024-09-18 00:00:00,DEU21W46 L,17,0,8,2024-09-18 00:00:00
"(21, 0, 'Wednesday-09-18'),",21,0,2024-09-18 00:00:00,DEU2272  L,0,0,0,2024-09-18 00:00:00
"(22, 668, 'Wednesday-09-18'),",22,668,2024-09-18 00:00:00,DEU22P10 L,2222,0,668,2024-09-18 00:00:00
"(23, 407, 'Wednesday-09-18'),",23,407,2024-09-18 00:00:00,DEU22P46 L,2222,0,407,2024-09-18 00:00:00
"(24, -36, 'Wednesday-09-18'),",24,-36,2024-09-18 00:00:00,DEU22P69 L,366,0,-36,2024-09-18 00:00:00
"(25, 2, 'Wednesday-09-18'),",25,2,2024-09-18 00:00:00,DEU240   B,2000,0,2,2024-09-18 00:00:00
"(26, 7, 'Wednesday-09-18'),",26,7,2024-09-18 00:00:00,DEU340   B,8,0,7,2024-09-18 00:00:00
"(27, 1, 'Wednesday-09-18'),",27,1,2024-09-18 00:00:00,DEU3799  L,5000,0,1,2024-09-18 00:00:00
"(28, 238, 'Wednesday-09-18'),",28,238,2024-09-18 00:00:00,DEU520   N,420,0,238,2024-09-18 00:00:00
"(29, 0, 'Wednesday-09-18'),",29,0,2024-09-18 00:00:00,DEU530   N,3000,0,0,2024-09-18 00:00:00
"(30, 6, 'Wednesday-09-18'),",30,6,2024-09-18 00:00:00,DEU620   B,8,0,6,2024-09-18 00:00:00
"(31, 0, 'Wednesday-09-18'),",31,0,2024-09-18 00:00:00,DEU620   N,3000,0,0,2024-09-18 00:00:00
"(32, 0, 'Wednesday-09-18'),",32,0,2024-09-18 00:00:00,DEU68024 L,2000,0,0,2024-09-18 00:00:00
"(33, -535, 'Wednesday-09-18'),",33,-535,2024-09-18 00:00:00,DEU700Y  H,2000,0,-535,2024-09-18 00:00:00
"(34, 168, 'Wednesday-09-18'),",34,168,2024-09-18 00:00:00,DEU7071  H,3500,0,168,2024-09-18 00:00:00
"(35, 0, 'Wednesday-09-18'),",35,0,2024-09-18 00:00:00,DEU70DUE L,0,0,0,2024-09-18 00:00:00
"(36, 1411, 'Wednesday-09-18'),",36,1411,2024-09-18 00:00:00,DEU780   B,2500,0,1411,2024-09-18 00:00:00
"(37, 0, 'Wednesday-09-18'),",37,0,2024-09-18 00:00:00,DEU78055 L,2500,0,0,2024-09-18 00:00:00
"(38, 160, 'Wednesday-09-18'),",38,160,2024-09-18 00:00:00,DEU790   B,314,0,160,2024-09-18 00:00:00
"(39, 0, 'Wednesday-09-18'),",39,0,2024-09-18 00:00:00,DEU81024 L,2000,0,0,2024-09-18 00:00:00
"(40, 0, 'Wednesday-09-18'),",40,0,2024-09-18 00:00:00,DEU83024 L,2000,0,0,2024-09-18 00:00:00
"(41, 12153, 'Wednesday-09-18'),",41,12153,2024-09-18 00:00:00,DEU850   B,13368,0,12153,2024-09-18 00:00:00
"(42, 0, 'Wednesday-09-18'),",42,0,2024-09-18 00:00:00,DEU85016 L,0,0,0,2024-09-18 00:00:00
"(43, 722, 'Wednesday-09-18'),",43,722,2024-09-18 00:00:00,DEUBIE001,500,1,722,2024-09-18 00:00:00
"(44, 0, 'Wednesday-09-18'),",44,0,2024-09-18 00:00:00,DEUBRE001,0,0,0,2024-09-18 00:00:00
"(45, 0, 'Wednesday-09-18'),",45,0,2024-09-18 00:00:00,DEUBRE002,0,0,0,2024-09-18 00:00:00
"(46, 2460, 'Wednesday-09-18'),",46,2460,2024-09-18 00:00:00,DEUBRV001,22254,0,2460,2024-09-18 00:00:00
"(47, -1751, 'Wednesday-09-18'),",47,-1751,2024-09-18 00:00:00,DEUBRV002,2191,0,-1751,2024-09-18 00:00:00
"(48, 136, 'Wednesday-09-18'),",48,136,2024-09-18 00:00:00,DEUBTL001,2528,0,136,2024-09-18 00:00:00
"(49, 1400, 'Wednesday-09-18'),",49,1400,2024-09-18 00:00:00,DEUCAN001,1971,0,1400,2024-09-18 00:00:00
"(50, 308, 'Wednesday-09-18'),",50,308,2024-09-18 00:00:00,DEUCUX001,3000,0,308,2024-09-18 00:00:00
"(51, 55, 'Wednesday-09-18'),",51,55,2024-09-18 00:00:00,DEUCUX002,3000,0,55,2024-09-18 00:00:00
"(52, 2123, 'Wednesday-09-18'),",52,2123,2024-09-18 00:00:00,DEUDAR001,3200,0,2123,2024-09-18 00:00:00
"(53, 0, 'Wednesday-09-18'),",53,0,2024-09-18 00:00:00,DEUDAR002,0,0,0,2024-09-18 00:00:00
"(54, 0, 'Wednesday-09-18'),",54,0,2024-09-18 00:00:00,DEUDD    K,3000,0,0,2024-09-18 00:00:00
"(55, 5385, 'Wednesday-09-18'),",55,5385,2024-09-18 00:00:00,DEUDRS001,8056,0,5385,2024-09-18 00:00:00
"(56, 0, 'Wednesday-09-18'),",56,0,2024-09-18 00:00:00,DEUDUE001,0,0,0,2024-09-18 00:00:00
"(57, 2057, 'Wednesday-09-18'),",57,2057,2024-09-18 00:00:00,DEUDUI001,4014,0,2057,2024-09-18 00:00:00
"(58, 14, 'Wednesday-09-18'),",58,14,2024-09-18 00:00:00,DEUEGI001,2222,0,14,2024-09-18 00:00:00
"(59, 0, 'Wednesday-09-18'),",59,0,2024-09-18 00:00:00,DEUEMD   L,3000,0,0,2024-09-18 00:00:00
"(60, 9541, 'Wednesday-09-18'),",60,9541,2024-09-18 00:00:00,DEUEME001,11619,0,9541,2024-09-18 00:00:00
"(61, 15759, 'Wednesday-09-18'),",61,15759,2024-09-18 00:00:00,DEUEME002,44650,0,15759,2024-09-18 00:00:00
"(62, 4004, 'Wednesday-09-18'),",62,4004,2024-09-18 00:00:00,DEUEME003,10300,0,4004,2024-09-18 00:00:00
"(63, 2857, 'Wednesday-09-18'),",63,2857,2024-09-18 00:00:00,DEUEME004,3000,0,2857,2024-09-18 00:00:00
"(64, 0, 'Wednesday-09-18'),",64,0,2024-09-18 00:00:00,DEUEME005,3000,0,0,2024-09-18 00:00:00
"(65, 1731, 'Wednesday-09-18'),",65,1731,2024-09-18 00:00:00,DEUEME006,1995,0,1731,2024-09-18 00:00:00
"(66, 3082, 'Wednesday-09-18'),",66,3082,2024-09-18 00:00:00,DEUESS001,4500,0,3082,2024-09-18 00:00:00
"(67, 1799, 'Wednesday-09-18'),",67,1799,2024-09-18 00:00:00,DEUFAB001,3157,0,1799,2024-09-18 00:00:00
"(68, 1172, 'Wednesday-09-18'),",68,1172,2024-09-18 00:00:00,DEUFLB001,2222,0,1172,2024-09-18 00:00:00
"(69, 1234, 'Wednesday-09-18'),",69,1234,2024-09-18 00:00:00,DEUFUW001,4754,0,1234,2024-09-18 00:00:00
"(70, 2359, 'Wednesday-09-18'),",70,2359,2024-09-18 00:00:00,DEUGHU001,6622,0,2359,2024-09-18 00:00:00
"(71, 883, 'Wednesday-09-18'),",71,883,2024-09-18 00:00:00,DEUGIG001,890,0,883,2024-09-18 00:00:00
"(72, 2175, 'Wednesday-09-18'),",72,2175,2024-09-18 00:00:00,DEUGIZ001,1500,1,2175,2024-09-18 00:00:00
"(73, 0, 'Wednesday-09-18'),",73,0,2024-09-18 00:00:00,DEUGME001,369,0,0,2024-09-18 00:00:00
"(74, 0, 'Wednesday-09-18'),",74,0,2024-09-18 00:00:00,DEUGRM001,0,0,0,2024-09-18 00:00:00
"(75, 6013, 'Wednesday-09-18'),",75,6013,2024-09-18 00:00:00,DEUHAJ001,11492,0,6013,2024-09-18 00:00:00
"(76, 596, 'Wednesday-09-18'),",76,596,2024-09-18 00:00:00,DEUHAJ002,2222,0,596,2024-09-18 00:00:00
"(77, 21, 'Wednesday-09-18'),",77,21,2024-09-18 00:00:00,DEUHAJ003,106,0,21,2024-09-18 00:00:00
"(78, 9, 'Wednesday-09-18'),",78,9,2024-09-18 00:00:00,DEUHAJ004,175,0,9,2024-09-18 00:00:00
