TABLE NAME,COLUM NAME,COLUM NAME.1,COLUM NAME.2,COLUM NAME.3,2023-12-10 00:00:00,COLUM NAME.4,COLUM NAME.5,COLUM NAME.6,COLUM NAME.7,Unnamed: 10,COLUM NAME.8,Unnamed: 12,Unnamed: 13,Unnamed: 14,COLUM NAME.9
"(129, 84, 'Saturday-09-09', 'Sunday-12-07', true, 'Description Info: Route BELBRU001-DEUILG001'),",129,84,BELBRU001,DEUILG001,2023-09-09 00:00:00,2025-12-07 00:00:00,true,Illingen - Mosolf,8.94191,48.95471,Description Info: Route BELBRU001-DEUILG001,OK,129 84,BELBRU001 DEUILG001,12
"(129, 86, 'Wednesday-06-14', 'Monday-01-19', true, 'Description Info: Route BELBRU001-DEUKAK001'),",129,86,BELBRU001,DEUKAK001,2023-06-14 00:00:00,2026-01-19 00:00:00,true,Probfeld (Karlskron) - ATP,11.36424,48.67877,Description Info: Route BELBRU001-DEUKAK001,OK,129 86,BELBRU001 DEUKAK001,13
"(129, 88, 'Tuesday-05-24', 'Friday-01-16', true, 'Description Info: Route BELBRU001-DEUKIP001'),",129,88,BELBRU001,DEUKIP001,2022-05-24 00:00:00,2026-01-16 00:00:00,true,Kippenheim - Mosolf,7.83364,48.32345,Description Info: Route BELBRU001-DEUKIP001,OK,129 88,BELBRU001 DEUKIP001,14
"(129, 91, 'Saturday-05-27', 'Saturday-03-15', true, 'Description Info: Route BELBRU001-DEULBC002'),",129,91,BELBRU001,DEULBC002,2023-05-27 00:00:00,2025-03-15 00:00:00,true,LÃ¼beck (TravemÃ¼nde) - LHG Skandinavienkai,10.83853,53.93406,Description Info: Route BELBRU001-DEULBC002,OK,129 91,BELBRU001 DEULBC002,15
"(129, 97, 'Wednesday-03-22', 'Tuesday-03-11', true, 'Description Info: Route BELBRU001-DEUNDS001'),",129,97,BELBRU001,DEUNDS001,2023-03-22 00:00:00,2025-03-11 00:00:00,true,Neuseddin - CAT,13.00601,52.2889,Description Info: Route BELBRU001-DEUNDS001,OK,129 97,BELBRU001 DEUNDS001,16
"(129, 99, 'Thursday-08-03', 'Tuesday-09-01', true, 'Description Info: Route BELBRU001-DEUNSS001'),",129,99,BELBRU001,DEUNSS001,2023-08-03 00:00:00,2026-09-01 00:00:00,true,Neuss - Autoterminal Neuss,6.7142,51.21054,Description Info: Route BELBRU001-DEUNSS001,OK,129 99,BELBRU001 DEUNSS001,17
"(129, 100, 'Sunday-05-28', 'Thursday-10-10', true, 'Description Info: Route BELBRU001-DEUNUE001'),",129,100,BELBRU001,DEUNUE001,2023-05-28 00:00:00,2024-10-10 00:00:00,true,NÃ¼rnberg - Altmann,11.0975,49.41997,Description Info: Route BELBRU001-DEUNUE001,OK,129 100,BELBRU001 DEUNUE001,18
"(129, 102, 'Monday-09-11', 'Saturday-09-06', true, 'Description Info: Route BELBRU001-DEUOSN002'),",129,102,BELBRU001,DEUOSN002,2023-09-11 00:00:00,2025-09-06 00:00:00,true,OsnabrÃ¼ck - CAT,8.09121,52.26288,Description Info: Route BELBRU001-DEUOSN002,OK,129 102,BELBRU001 DEUOSN002,19
"(129, 120, 'Friday-01-14', 'Wednesday-03-27', true, 'Description Info: Route BELBRU001-DEUWLZ001'),",129,120,BELBRU001,DEUWLZ001,2022-01-14 00:00:00,2024-03-27 00:00:00,true,Wolnzach - Altmann,11.63098,48.5935,Description Info: Route BELBRU001-DEUWLZ001,OK,129 120,BELBRU001 DEUWLZ001,20
"(145, 43, 'Wednesday-11-29', 'Monday-05-26', true, 'Description Info: Route CZEKVS001-DEUBIE001'),",145,43,CZEKVS001,DEUBIE001,2023-11-29 00:00:00,2025-05-26 00:00:00,true,Biebesheim - Frankenbach,8.47404,49.78732,Description Info: Route CZEKVS001-DEUBIE001,OK,145 43,CZEKVS001 DEUBIE001,21
"(145, 46, 'Wednesday-03-22', 'Monday-05-13', true, 'Description Info: Route CZEKVS001-DEUBRV001'),",145,46,CZEKVS001,DEUBRV001,2023-03-22 00:00:00,2024-05-13 00:00:00,true,Bremerhaven - BLG,8.57301,53.57832,Description Info: Route CZEKVS001-DEUBRV001,OK,145 46,CZEKVS001 DEUBRV001,22
"(145, 57, 'Tuesday-03-01', 'Thursday-06-06', true, 'Description Info: Route CZEKVS001-DEUDUI001'),",145,57,CZEKVS001,DEUDUI001,2022-03-01 00:00:00,2024-06-06 00:00:00,true,Duisburg - BLG,6.73559,51.40057,Description Info: Route CZEKVS001-DEUDUI001,OK,145 57,CZEKVS001 DEUDUI001,23
"(145, 61, 'Saturday-04-15', 'Saturday-08-15', true, 'Description Info: Route CZEKVS001-DEUEME002'),",145,61,CZEKVS001,DEUEME002,2023-04-15 00:00:00,2026-08-15 00:00:00,true,Emden - AuÃŸenhafen,7.17683,53.33672,Description Info: Route CZEKVS001-DEUEME002,OK,145 61,CZEKVS001 DEUEME002,24
"(145, 62, 'Saturday-10-01', 'Thursday-11-06', true, 'Description Info: Route CZEKVS001-DEUEME003'),",145,62,CZEKVS001,DEUEME003,2022-10-01 00:00:00,2025-11-06 00:00:00,true,Emden - Binnenhafen,7.2088,53.34623,Description Info: Route CZEKVS001-DEUEME003,OK,145 62,CZEKVS001 DEUEME003,25
"(145, 69, 'Monday-03-20', 'Thursday-02-05', true, 'Description Info: Route CZEKVS001-DEUFUW001'),",145,69,CZEKVS001,DEUFUW001,2023-03-20 00:00:00,2026-02-05 00:00:00,true,Furth im Wald,12.85,49.3199,Description Info: Route CZEKVS001-DEUFUW001,OK,145 69,CZEKVS001 DEUFUW001,26
"(145, 70, 'Sunday-10-16', 'Friday-08-22', true, 'Description Info: Route CZEKVS001-DEUGHU001'),",145,70,CZEKVS001,DEUGHU001,2022-10-16 00:00:00,2025-08-22 00:00:00,true,Glauchau - SAT (Mosolf),12.54086,50.82872,Description Info: Route CZEKVS001-DEUGHU001,OK,145 70,CZEKVS001 DEUGHU001,27
"(145, 72, 'Friday-03-17', 'Friday-12-27', true, 'Description Info: Route CZEKVS001-DEUGIZ001'),",145,72,CZEKVS001,DEUGIZ001,2023-03-17 00:00:00,2024-12-27 00:00:00,true,GÃ¶ÃŸnitz - SAT (Mosolf),12.43075,50.90203,Description Info: Route CZEKVS001-DEUGIZ001,OK,145 72,CZEKVS001 DEUGIZ001,28
"(145, 79, 'Thursday-02-10', 'Tuesday-09-01', true, 'Description Info: Route CZEKVS001-DEUHAM001'),",145,79,CZEKVS001,DEUHAM001,2022-02-10 00:00:00,2026-09-01 00:00:00,true,Hamburg - BLG,9.94394,53.50578,Description Info: Route CZEKVS001-DEUHAM001,OK,145 79,CZEKVS001 DEUHAM001,29
"(145, 80, 'Thursday-04-28', 'Monday-05-18', true, 'Description Info: Route CZEKVS001-DEUHAM002'),",145,80,CZEKVS001,DEUHAM002,2022-04-28 00:00:00,2026-05-18 00:00:00,true,Hamburg - Unikai,10.01193,53.52747,Description Info: Route CZEKVS001-DEUHAM002,OK,145 80,CZEKVS001 DEUHAM002,30
"(145, 84, 'Tuesday-11-07', 'Saturday-03-22', true, 'Description Info: Route CZEKVS001-DEUILG001'),",145,84,CZEKVS001,DEUILG001,2023-11-07 00:00:00,2025-03-22 00:00:00,true,Illingen - Mosolf,8.94191,48.95471,Description Info: Route CZEKVS001-DEUILG001,OK,145 84,CZEKVS001 DEUILG001,31
"(145, 88, 'Monday-05-09', 'Monday-09-07', true, 'Description Info: Route CZEKVS001-DEUKIP001'),",145,88,CZEKVS001,DEUKIP001,2022-05-09 00:00:00,2026-09-07 00:00:00,true,Kippenheim - Mosolf,7.83364,48.32345,Description Info: Route CZEKVS001-DEUKIP001,OK,145 88,CZEKVS001 DEUKIP001,32
"(145, 90, 'Tuesday-06-07', 'Thursday-06-18', true, 'Description Info: Route CZEKVS001-DEULBC001'),",145,90,CZEKVS001,DEULBC001,2022-06-07 00:00:00,2026-06-18 00:00:00,true,LÃ¼beck - LHG Seelandkai,10.78164,53.90216,Description Info: Route CZEKVS001-DEULBC001,OK,145 90,CZEKVS001 DEULBC001,33
"(145, 91, 'Monday-08-14', 'Thursday-10-29', true, 'Description Info: Route CZEKVS001-DEULBC002'),",145,91,CZEKVS001,DEULBC002,2023-08-14 00:00:00,2026-10-29 00:00:00,true,LÃ¼beck (TravemÃ¼nde) - LHG Skandinavienkai,10.83853,53.93406,Description Info: Route CZEKVS001-DEULBC002,OK,145 91,CZEKVS001 DEULBC002,34
"(145, 97, 'Monday-03-28', 'Wednesday-12-02', true, 'Description Info: Route CZEKVS001-DEUNDS001'),",145,97,CZEKVS001,DEUNDS001,2022-03-28 00:00:00,2026-12-02 00:00:00,true,Neuseddin - CAT,13.00601,52.2889,Description Info: Route CZEKVS001-DEUNDS001,OK,145 97,CZEKVS001 DEUNDS001,35
"(145, 99, 'Friday-02-25', 'Monday-03-03', true, 'Description Info: Route CZEKVS001-DEUNSS001'),",145,99,CZEKVS001,DEUNSS001,2022-02-25 00:00:00,2025-03-03 00:00:00,true,Neuss - Autoterminal Neuss,6.7142,51.21054,Description Info: Route CZEKVS001-DEUNSS001,OK,145 99,CZEKVS001 DEUNSS001,36
"(145, 100, 'Tuesday-10-24', 'Thursday-06-06', true, 'Description Info: Route CZEKVS001-DEUNUE001'),",145,100,CZEKVS001,DEUNUE001,2023-10-24 00:00:00,2024-06-06 00:00:00,true,NÃ¼rnberg - Altmann,11.0975,49.41997,Description Info: Route CZEKVS001-DEUNUE001,OK,145 100,CZEKVS001 DEUNUE001,37
"(145, 116, 'Sunday-07-09', 'Thursday-02-01', true, 'Description Info: Route CZEKVS001-DEUULZ001'),",145,116,CZEKVS001,DEUULZ001,2023-07-09 00:00:00,2024-02-01 00:00:00,true,Dodendorf (SÃ¼lzetal) - BLG,11.60992,52.04981,Description Info: Route CZEKVS001-DEUULZ001,OK,145 116,CZEKVS001 DEUULZ001,38
"(145, 120, 'Thursday-12-08', 'Monday-05-05', true, 'Description Info: Route CZEKVS001-DEUWLZ001'),",145,120,CZEKVS001,DEUWLZ001,2022-12-08 00:00:00,2025-05-05 00:00:00,true,Wolnzach - Altmann,11.63098,48.5935,Description Info: Route CZEKVS001-DEUWLZ001,OK,145 120,CZEKVS001 DEUWLZ001,39
"(146, 43, 'Monday-12-04', 'Saturday-04-19', true, 'Description Info: Route CZEMBV001-DEUBIE001'),",146,43,CZEMBV001,DEUBIE001,2023-12-04 00:00:00,2025-04-19 00:00:00,true,Biebesheim - Frankenbach,8.47404,49.78732,Description Info: Route CZEMBV001-DEUBIE001,OK,146 43,CZEMBV001 DEUBIE001,40
"(146, 46, 'Tuesday-01-24', 'Wednesday-09-03', true, 'Description Info: Route CZEMBV001-DEUBRV001'),",146,46,CZEMBV001,DEUBRV001,2023-01-24 00:00:00,2025-09-03 00:00:00,true,Bremerhaven - BLG,8.57301,53.57832,Description Info: Route CZEMBV001-DEUBRV001,OK,146 46,CZEMBV001 DEUBRV001,41
"(146, 57, 'Friday-04-28', 'Wednesday-09-24', true, 'Description Info: Route CZEMBV001-DEUDUI001'),",146,57,CZEMBV001,DEUDUI001,2023-04-28 00:00:00,2025-09-24 00:00:00,true,Duisburg - BLG,6.73559,51.40057,Description Info: Route CZEMBV001-DEUDUI001,OK,146 57,CZEMBV001 DEUDUI001,42
"(146, 61, 'Friday-08-19', 'Saturday-11-15', true, 'Description Info: Route CZEMBV001-DEUEME002'),",146,61,CZEMBV001,DEUEME002,2022-08-19 00:00:00,2025-11-15 00:00:00,true,Emden - AuÃŸenhafen,7.17683,53.33672,Description Info: Route CZEMBV001-DEUEME002,OK,146 61,CZEMBV001 DEUEME002,43
"(146, 69, 'Tuesday-04-11', 'Wednesday-03-26', true, 'Description Info: Route CZEMBV001-DEUFUW001'),",146,69,CZEMBV001,DEUFUW001,2023-04-11 00:00:00,2025-03-26 00:00:00,true,Furth im Wald,12.85,49.3199,Description Info: Route CZEMBV001-DEUFUW001,OK,146 69,CZEMBV001 DEUFUW001,44
"(146, 70, 'Sunday-04-03', 'Saturday-01-27', true, 'Description Info: Route CZEMBV001-DEUGHU001'),",146,70,CZEMBV001,DEUGHU001,2022-04-03 00:00:00,2024-01-27 00:00:00,true,Glauchau - SAT (Mosolf),12.54086,50.82872,Description Info: Route CZEMBV001-DEUGHU001,OK,146 70,CZEMBV001 DEUGHU001,45
"(146, 72, 'Friday-12-23', 'Saturday-03-30', true, 'Description Info: Route CZEMBV001-DEUGIZ001'),",146,72,CZEMBV001,DEUGIZ001,2022-12-23 00:00:00,2024-03-30 00:00:00,true,GÃ¶ÃŸnitz - SAT (Mosolf),12.43075,50.90203,Description Info: Route CZEMBV001-DEUGIZ001,OK,146 72,CZEMBV001 DEUGIZ001,46
"(146, 79, 'Tuesday-06-13', 'Sunday-10-05', true, 'Description Info: Route CZEMBV001-DEUHAM001'),",146,79,CZEMBV001,DEUHAM001,2023-06-13 00:00:00,2025-10-05 00:00:00,true,Hamburg - BLG,9.94394,53.50578,Description Info: Route CZEMBV001-DEUHAM001,OK,146 79,CZEMBV001 DEUHAM001,47
"(146, 80, 'Friday-04-15', 'Friday-04-18', true, 'Description Info: Route CZEMBV001-DEUHAM002'),",146,80,CZEMBV001,DEUHAM002,2022-04-15 00:00:00,2025-04-18 00:00:00,true,Hamburg - Unikai,10.01193,53.52747,Description Info: Route CZEMBV001-DEUHAM002,OK,146 80,CZEMBV001 DEUHAM002,48
"(146, 84, 'Sunday-08-13', 'Saturday-09-27', true, 'Description Info: Route CZEMBV001-DEUILG001'),",146,84,CZEMBV001,DEUILG001,2023-08-13 00:00:00,2025-09-27 00:00:00,true,Illingen - Mosolf,8.94191,48.95471,Description Info: Route CZEMBV001-DEUILG001,OK,146 84,CZEMBV001 DEUILG001,49
"(146, 88, 'Wednesday-07-05', 'Monday-07-22', true, 'Description Info: Route CZEMBV001-DEUKIP001'),",146,88,CZEMBV001,DEUKIP001,2023-07-05 00:00:00,2024-07-22 00:00:00,true,Kippenheim - Mosolf,7.83364,48.32345,Description Info: Route CZEMBV001-DEUKIP001,OK,146 88,CZEMBV001 DEUKIP001,50
"(146, 90, 'Wednesday-11-01', 'Friday-03-15', true, 'Description Info: Route CZEMBV001-DEULBC001'),",146,90,CZEMBV001,DEULBC001,2023-11-01 00:00:00,2024-03-15 00:00:00,true,LÃ¼beck - LHG Seelandkai,10.78164,53.90216,Description Info: Route CZEMBV001-DEULBC001,OK,146 90,CZEMBV001 DEULBC001,51
"(146, 91, 'Tuesday-03-21', 'Tuesday-09-01', true, 'Description Info: Route CZEMBV001-DEULBC002'),",146,91,CZEMBV001,DEULBC002,2023-03-21 00:00:00,2026-09-01 00:00:00,true,LÃ¼beck (TravemÃ¼nde) - LHG Skandinavienkai,10.83853,53.93406,Description Info: Route CZEMBV001-DEULBC002,OK,146 91,CZEMBV001 DEULBC002,52
"(146, 97, 'Tuesday-12-12', 'Thursday-12-04', true, 'Description Info: Route CZEMBV001-DEUNDS001'),",146,97,CZEMBV001,DEUNDS001,2023-12-12 00:00:00,2025-12-04 00:00:00,true,Neuseddin - CAT,13.00601,52.2889,Description Info: Route CZEMBV001-DEUNDS001,OK,146 97,CZEMBV001 DEUNDS001,53
"(146, 99, 'Monday-04-03', 'Tuesday-04-02', true, 'Description Info: Route CZEMBV001-DEUNSS001'),",146,99,CZEMBV001,DEUNSS001,2023-04-03 00:00:00,2024-04-02 00:00:00,true,Neuss - Autoterminal Neuss,6.7142,51.21054,Description Info: Route CZEMBV001-DEUNSS001,OK,146 99,CZEMBV001 DEUNSS001,54
"(146, 109, 'Sunday-06-11', 'Friday-11-07', true, 'Description Info: Route CZEMBV001-DEURKW001'),",146,109,CZEMBV001,DEURKW001,2023-06-11 00:00:00,2025-11-07 00:00:00,true,Rackwitz - SAT (Mosolf),12.38247,51.44049,Description Info: Route CZEMBV001-DEURKW001,OK,146 109,CZEMBV001 DEURKW001,55
"(146, 116, 'Monday-10-02', 'Tuesday-04-30', true, 'Description Info: Route CZEMBV001-DEUULZ001'),",146,116,CZEMBV001,DEUULZ001,2023-10-02 00:00:00,2024-04-30 00:00:00,true,Dodendorf (SÃ¼lzetal) - BLG,11.60992,52.04981,Description Info: Route CZEMBV001-DEUULZ001,OK,146 116,CZEMBV001 DEUULZ001,56
"(46, 250, 'Sunday-12-17', 'Sunday-05-03', true, 'Description Info: Route DEUBRV001-ARE4220  H'),",46,250,DEUBRV001,ARE4220  H,2023-12-17 00:00:00,2026-05-03 00:00:00,true,JEBEL ALI,55.07,24.9931,Description Info: Route DEUBRV001-ARE4220  H,OK,46 250,DEUBRV001 ARE4220  H,57
"(46, 253, 'Monday-06-06', 'Monday-04-07', true, 'Description Info: Route DEUBRV001-ARGZAE001'),",46,253,DEUBRV001,ARGZAE001,2022-06-06 00:00:00,2025-04-07 00:00:00,true,"ARGENTINIEN, HAFEN ZARATE",-59.0245097,-34.0954713,Description Info: Route DEUBRV001-ARGZAE001,OK,46 253,DEUBRV001 ARGZAE001,58
"(46, 254, 'Monday-09-26', 'Saturday-11-16', true, 'Description Info: Route DEUBRV001-AUSFRE001'),",46,254,DEUBRV001,AUSFRE001,2022-09-26 00:00:00,2024-11-16 00:00:00,true,"AUSTRALIEN, FREMANTLE",115.768451,-32.037005,Description Info: Route DEUBRV001-AUSFRE001,OK,46 254,DEUBRV001 AUSFRE001,59
"(46, 206, 'Saturday-07-01', 'Friday-03-15', true, 'Description Info: Route DEUBRV001-AUSPBN001'),",46,206,DEUBRV001,AUSPBN001,2023-07-01 00:00:00,2024-03-15 00:00:00,true,"AUSTRALIEN, BRISBANE",153.0234991,-27.4689682,Description Info: Route DEUBRV001-AUSPBN001,OK,46 206,DEUBRV001 AUSPBN001,60
"(46, 238, 'Friday-06-17', 'Saturday-04-04', true, 'Description Info: Route DEUBRV001-AUSPOR001'),",46,238,DEUBRV001,AUSPOR001,2022-06-17 00:00:00,2026-04-04 00:00:00,true,"AUSTRALIEN, MELBOURNE",144.9631732,-37.8142454,Description Info: Route DEUBRV001-AUSPOR001,OK,46 238,DEUBRV001 AUSPOR001,61
"(46, 255, 'Thursday-10-05', 'Monday-12-21', true, 'Description Info: Route DEUBRV001-BHR4120  H'),",46,255,DEUBRV001,BHR4120  H,2023-10-05 00:00:00,2026-12-21 00:00:00,true,BAHRAIN,50.550672,26.0845,Description Info: Route DEUBRV001-BHR4120  H,OK,46 255,DEUBRV001 BHR4120  H,62
"(46, 243, 'Tuesday-07-26', 'Thursday-11-13', true, 'Description Info: Route DEUBRV001-CHNSHA   H'),",46,243,DEUBRV001,CHNSHA   H,2022-07-26 00:00:00,2025-11-13 00:00:00,true,"CHINA, SHANGHAI",121.4691024,31.2323437,Description Info: Route DEUBRV001-CHNSHA   H,OK,46 243,DEUBRV001 CHNSHA   H,63
"(46, 260, 'Tuesday-03-01', 'Wednesday-04-24', true, 'Description Info: Route DEUBRV001-CHNXNA   H'),",46,260,DEUBRV001,CHNXNA   H,2022-03-01 00:00:00,2024-04-24 00:00:00,true,"XINSHA, CHINA",102.0692231,31.5840999,Description Info: Route DEUBRV001-CHNXNA   H,OK,46 260,DEUBRV001 CHNXNA   H,64
"(46, 263, 'Thursday-04-13', 'Saturday-03-02', true, 'Description Info: Route DEUBRV001-CYMGEC   H'),",46,263,DEUBRV001,CYMGEC   H,2023-04-13 00:00:00,2024-03-02 00:00:00,true,"KAIMANINSELN, GEORGETOWN, HAFE",-81.3807776,19.2953549,Description Info: Route DEUBRV001-CYMGEC   H,OK,46 263,DEUBRV001 CYMGEC   H,65
"(46, 267, 'Wednesday-07-12', 'Monday-03-23', true, 'Description Info: Route DEUBRV001-GLPPAP   H'),",46,267,DEUBRV001,GLPPAP   H,2023-07-12 00:00:00,2026-03-23 00:00:00,true,"POINT A PITRE, GUADELOUPE",-61.5334077,16.2408636,Description Info: Route DEUBRV001-GLPPAP   H,OK,46 267,DEUBRV001 GLPPAP   H,66
"(46, 269, 'Wednesday-05-10', 'Friday-07-24', true, 'Description Info: Route DEUBRV001-GTMSTC   H'),",46,269,DEUBRV001,GTMSTC   H,2023-05-10 00:00:00,2026-07-24 00:00:00,true,SANTO TOMAS DE CASTILLA HAFEN,-88.6118496,15.6866305,Description Info: Route DEUBRV001-GTMSTC   H,OK,46 269,DEUBRV001 GTMSTC   H,67
"(46, 271, 'Tuesday-05-09', 'Sunday-09-28', true, 'Description Info: Route DEUBRV001-HKG4690  H'),",46,271,DEUBRV001,HKG4690  H,2023-05-09 00:00:00,2025-09-28 00:00:00,true,HONGKONG; HONGKONG PORT,114.135572,22.381131,Description Info: Route DEUBRV001-HKG4690  H,OK,46 271,DEUBRV001 HKG4690  H,68
"(46, 274, 'Tuesday-11-15', 'Wednesday-12-11', true, 'Description Info: Route DEUBRV001-INDBOM001'),",46,274,DEUBRV001,INDBOM001,2022-11-15 00:00:00,2024-12-11 00:00:00,true,Mumbai - Hafen,73.0198537,19.0308262,Description Info: Route DEUBRV001-INDBOM001,OK,46 274,DEUBRV001 INDBOM001,69
"(46, 278, 'Thursday-11-03', 'Tuesday-12-01', true, 'Description Info: Route DEUBRV001-JOR4500  H'),",46,278,DEUBRV001,JOR4500  H,2022-11-03 00:00:00,2026-12-01 00:00:00,true,AQABA,35.0075433,29.5266483,Description Info: Route DEUBRV001-JOR4500  H,OK,46 278,DEUBRV001 JOR4500  H,70
"(46, 281, 'Saturday-06-04', 'Wednesday-07-23', true, 'Description Info: Route DEUBRV001-KORPTK001'),",46,281,DEUBRV001,KORPTK001,2022-06-04 00:00:00,2025-07-23 00:00:00,true,Pyeongtaek - Ro Ro / Car Terminal,126.8220934,37.3169005,Description Info: Route DEUBRV001-KORPTK001,OK,46 281,DEUBRV001 KORPTK001,71
"(46, 282, 'Wednesday-02-15', 'Monday-07-21', true, 'Description Info: Route DEUBRV001-KWT4050  H'),",46,282,DEUBRV001,KWT4050  H,2023-02-15 00:00:00,2025-07-21 00:00:00,true,KUWAIT,48.075522,29.1863,Description Info: Route DEUBRV001-KWT4050  H,OK,46 282,DEUBRV001 KWT4050  H,72
"(46, 287, 'Tuesday-08-02', 'Friday-05-08', true, 'Description Info: Route DEUBRV001-MTQFDF   H'),",46,287,DEUBRV001,MTQFDF   H,2022-08-02 00:00:00,2026-05-08 00:00:00,true,"MARTINIQUE, FORT DE FRANCE",-61.0676724,14.6027962,Description Info: Route DEUBRV001-MTQFDF   H,OK,46 287,DEUBRV001 MTQFDF   H,73
"(46, 290, 'Wednesday-04-19', 'Wednesday-03-13', true, 'Description Info: Route DEUBRV001-MUSPLU   H'),",46,290,DEUBRV001,MUSPLU   H,2023-04-19 00:00:00,2024-03-13 00:00:00,true,"MAURITIUS, PORT LOUIS",57.5028044,-20.1624522,Description Info: Route DEUBRV001-MUSPLU   H,OK,46 290,DEUBRV001 MUSPLU   H,74
"(46, 291, 'Saturday-02-26', 'Monday-08-03', true, 'Description Info: Route DEUBRV001-MYS4990  H'),",46,291,DEUBRV001,MYS4990  H,2022-02-26 00:00:00,2026-08-03 00:00:00,true,"MALAYSIA, PORT KELANG (PORT KL",101.3966735,3.0027625,Description Info: Route DEUBRV001-MYS4990  H,OK,46 291,DEUBRV001 MYS4990  H,75
