MasterCode,City,LoadCapacity,UnloadCapacity,Stock,Capacity,latitude,longitude
DEUZWI002,Zwickau - Kunden Service Center,9,3,6533,9296,50.7471,12.47924
DEUZWI003,Zwickau - Schubertstraße,5,2,5,500,50.7436696,12.47948175
BELBRU001,BrÃ¼ssel - Werk,7,1,0,500,50.80878,4.31249
BELESK001,Erps-Kwerps (Kortenberg) - D`ieteren,10,4,0,500,50.89092,4.56352
BELSEN001,Seneffe - CAT,10,2,0,500,50.5142356,4.2568462
CZE3137  L,"TSCHECHIEN, BENET, CEJETICKY",4,3,0,500,50.2284306,14.8757386
CZE3141  L,Prag,2,6,0,500,50.0874654,14.4212535
CZE3143  L,Kurivody Wasso,2,10,0,500,50.58556,14.80431
CZE3167  L,Mlada Kosmonosy,1,6,0,500,50.4389828,14.9305091
CZE31W59 L,LITRA MNICHOVO HRADISTE WLTP,2,1,0,500,50.5229864,14.9741022
CZE31W60 L,LYSA NAD LABEM WLTP,5,10,0,500,50.2016983,14.832757
CZE3365  L,Kolin,5,1,0,500,50.0288894,15.2011571
CZE3371  L,Hradec,2,4,0,500,49.7072278,15.2954608
CZE3377  L,Preymesser Lipovka,4,7,0,500,50.4309967,15.3816192155393
CZE3382  L,Prerov,9,8,0,500,49.4553775,17.4508621
CZE3387  L,Chrast,4,6,0,500,49.9018929,15.9340257
CZE33W58 L,BOROHRADEK WLTP,4,9,0,500,50.0978039,16.0932512
CZE350020L,Nehvizdy,7,3,0,500,50.1306367,14.7299126
CZEKVS001,Kvasiny - Werk,7,2,0,500,50.21253,16.26413
CZEMBV001,Mlada Boleslav - Werk,4,10,0,500,50.42202,14.91579
ESP7191  H,"SPANIEN, HAFEN SANTANDER",10,1,0,500,43.4620412,-3.8099719
ESPBCN001,Barcelona - Autoterminal,7,2,0,500,41.37015,2.17524
ESPBCN002,Barcelona - Setram,9,6,0,500,41.41168,2.18813
ESPEPB001,El Prat de Llobregat - Tradisa,8,4,0,500,41.331404,2.073553
ESPMTS001,Martorell - Werk,9,2,0,500,41.47507,1.90625
ESPPNA001,Pamplona (Navarra) - Werk,2,9,0,500,42.81158,-1.71119
ESPSDR001,Santander - Berge,3,1,0,500,43.43816,-3.82474
ESPTAR001,Tarragona,1,2,0,500,41.1172364,1.2546057
ESPYI    L,Iraneta,9,6,0,500,42.9233048,-1.9455388
FRAA5V001,Avrigny - CAT,7,5,0,500,49.38974,2.57828
FRAALG001,Ambares-et-Lagrave  - GCA,1,10,0,500,44.92631,-0.51922
GBRGSY001,Grimsby - GBA,1,5,0,500,53.5757694,-0.0864601
GBRNSH001,North Shields (Port of Tyne) - GBA,3,8,0,500,54.996237,-1.459012
GBRSHS001,Sheerness - GBA,9,7,0,500,51.3631787,0.824228108373436
HUN16018 L,GyÃ¶r (Agroker) - HÃ¶dlmayr,4,9,0,500,47.683452,17.643296
HUNGYO001,GyÃ¶r - Werk,5,8,0,500,47.70019,17.67901
IRLJR    K,"IRLAND, DUBLIN",3,7,0,500,53.3493795,-6.2605593
MEXVER001,HAFEN VERACRUZ,1,1,0,500,19.2003429,-96.1383572
NOROSL001,"NORWEGEN, OSLO",8,1,0,500,59.9133301,10.7389701
POLPOZ001,Poznan - Werk,8,7,0,500,52.4089571,17.0321428
POLSRZ001,Swarzedz - STS,1,8,0,500,52.39988,17.09652
POLWSN001,Wrzesnia - Werk,5,9,0,500,52.30059,17.52056
PRT4305  L,Setubal,7,2,0,500,38.5241783,-8.8932341
PRT43W0H L,Setubal,2,4,0,500,38.5241783,-8.8932341
PRT614   H,LeixÃµes ,3,5,0,500,41.1864507,-8.6961588
PRTAGM001,Aguas de Moura - CAT,9,7,0,500,38.5852943,-8.6914619
PRTPAL001,Palmela - Werk,2,9,0,500,38.57167,-8.99751
PRTSET001,Setubal - Autoeuropa,9,1,0,500,38.52133,-8.88851
SVK3737  L,VajnorskÃ¡,10,9,0,500,48.1866903,17.1739161
SVK3765  L,Bratislava,1,3,0,500,48.1516988,17.1093063
SVK37W0A L,PEZINOK WLTP,2,3,0,500,48.2854539,17.270194
SVKBTS001,Bratislava - Werk,8,4,0,500,48.2252,16.99152
SVKBTS002,Bratislava - Lagermax,2,10,0,500,48.21971,17.18321
SVKTNA001,Trnava - Gefco,10,9,0,500,48.36182,17.62254
SVNKOP001,Koper - BLG,8,4,0,500,45.54491135,13.744025266773
ZAFDUR001,DURBAN,9,6,0,500,-29.861825,31.009909
ZAFPLZ001,GQEBERHA (EHEMALS PORT ELIZABE,2,3,0,500,-33.9618359,25.6186512
AUTOZ    K,"OESTERREICH, DIPLOMATEN",5,4,0,500,47.522617,14.143702
AUTSWN001,Strasswalchen - Lagermax,9,1,0,500,47.98514,13.2524
AUTWNR001,Wiener Neustadt - HÃ¶dlmayr,6,4,0,500,47.79864,16.22249
CHELPG001,Lupfig - AMAG,10,10,0,500,47.44898,8.21115
CZEJNC001,Jenec - HÃ¶dlmayr,1,1,0,500,50.09375,14.21276
ESPEL    K,"SPAIN, HUB",5,5,0,500,41.3924382,2.1655498
HRVLUK001,Lagermax Lagerplatz Luka ,3,10,0,500,43.5146404,16.6081032
HUNBUA001,BudaÃ¶rs - Lagermax,10,5,0,500,47.44662,18.97077
ITAVRN001,Verona - Bertani,1,8,0,500,45.41978,10.93306
NLDLEU001,Leusden - Pon Logistics,7,2,0,500,52.12079,5.41336
PRTAZA001,Azambuja - SIVA,9,3,0,500,39.04962,-8.91558
DNKVDP001,Vamdrup - Dansk Auto Logik,9,10,0,500,55.43712,9.31196
FRABAS001,Bassens - CAT,2,8,0,500,44.9053278,-0.5221276
KORSEL001,Seoul - Volkswagen Group Korea,6,10,0,500,37.52575355,127.052321725338
FRABAT001,Batilly - CAT,4,2,0,500,49.18159,5.99438
FRACBA001,Corbas (Lyon) - TEA,1,2,0,500,45.68642,4.91447
FRACRD001,Creutzwald - Tramosa,3,4,0,500,49.18529,6.6872
ITAARP001,Arena Po - Bertani,1,2,0,500,45.08488,9.38801
ITAPEF001,Piadena - Altmann,1,4,0,500,45.12519,10.36434
NLDRTM001,Rotterdam - C.RO Ports,1,8,0,500,51.8926688,4.2584833
MARMK    K,"MAROKKO, CASABLANCA",6,9,0,500,33.5945144,-7.6200284
ANDESC001,Escaldes-Engordany,6,2,0,500,42.5127196,1.5353805
AUSPBN001,"AUSTRALIEN, BRISBANE",10,2,0,500,-27.4689682,153.0234991
AUSPKL001,"AUSTRALIEN, SYDNEY",1,2,0,500,-33.8698439,151.2082848
AUTSCH001,Schwertberg - HÃ¶dlmayr,9,2,0,500,48.26338,14.5773
ESP4951  L,Barcelona-Diana,3,8,0,500,41.403614,2.153082
ESP4952  L,Valencia-Diana,10,3,0,500,39.464773,-0.363258
ESP4954  L,Madrid-Diana,10,8,0,500,40.41831,-3.70275
ESP4959  L,Vebta de Banos-Diana,10,4,0,500,41.921322,-4.493216
ESP4976  L,Calaf,2,6,0,500,41.7323852,1.5150275
ESP4981  L,Llagosta,10,1,0,500,41.5139877,2.1912073
ESP4982  L,Roda-Diana,6,4,0,500,41.982193,2.308657
ESPVGO001,Vigo - Flota Suardiaz,7,3,0,500,42.22963,-8.75343
POLPOZ002,Poznan - Volkswagen Group Polska,5,3,0,500,52.41239,16.97531
CANEPG001,"CANADA, HALIFAX, NS (PORSCHE)",4,4,0,500,58.341159,-112.530919
FRAFOR001,Forbach - CAT (Egerland France),7,3,0,500,49.18014,6.877
JPNJY    K,JAPAN AUDI NIPPON KK,5,8,0,500,36.5748441,139.2394179
JPNJYN   K,JAPAN; PORSCHE,2,1,0,500,36.5748441,139.2394179
JPNJZ    K,JAPAN; VW GROUP JAPAN KK,8,4,0,500,36.660927,139.154461
MEXME    K,"MEXIKO, PUEBLA (VW DE MEXICO S",5,4,0,500,19.497059,-98.469485
ROUCUT001,Curtici - Lagermax,6,2,0,500,46.33131,21.30015
TWNNT    K,"TAIWAN, NEW TAIPEI CITY",10,7,0,500,25.011997,121.4656619
TWNTV    K,"TAIWAN, KEELUNG",2,8,0,500,25.1317232,121.744652
USABNC001,"USA, BENICIA",9,1,0,500,38.049365,-122.1585777
USAHOU001,"USA, HOUSTON (PORSCHE)",3,4,0,500,29.7589382,-95.3676974
USAJAX001,"USA, JACKSONVILLE (PORSCHE)",8,5,0,500,30.3321838,-81.655651
USANKT001,"USA, DAVISVILLE (PORSCHE)",9,8,0,500,37.8078237,-91.1851368
USANLN001,"USA, SAN DIEGO",9,10,0,500,32.7174202,-117.1627728
USAPPO001,"USA, BALTIMORE",9,5,0,500,39.2908816,-76.610759
USAUE    K,"USA, OMSC (AUSLIEFERUNG UEBER",7,9,0,500,39.7837304,-100.445882
USAUF    K,"USA, SAN BERNARDINO, CA (WESTE",2,10,0,500,34.1081621,-117.28946
KAZHE    K,"KASACHSTAN, ALMATY",10,2,0,500,43.2363924,76.9457275
TURTK    K,"TUERKEI, DERINCE",5,6,0,500,40.757461,29.8307537
TURTP    K,"TUERKEI, EFESAN (AUDI)",10,10,0,500,37.0276907,27.3787643
AUSPOR001,"AUSTRALIEN, MELBOURNE",3,5,0,500,-37.8142454,144.9631732
CHNCAN   H,"CHINA, GUANGZHOU",5,1,0,500,23.1301964,113.2592945
CHNLC    K,"CHINA, TIANJIN",9,2,0,500,39.1175488,117.1913008
CHNLD    K,"CHINA, SHANGHAI",10,4,0,500,31.2323437,121.4691024
CHNLF    K,"CHINA, GUANGZHOU HUANGPU",4,7,0,500,23.11883,113.38247
CHNSHA   H,"CHINA, SHANGHAI",2,8,0,500,31.2323437,121.4691024
CHNTJP   H,"CHINA, TIANJIN PORT",6,5,0,500,39.1175488,117.1913008
GTMKA    K,"GUATEMALA, SANTO TOMAS DE CAST",10,8,0,500,15.6866305,-88.6118496
NCLNK    K,"NEUKALEDONIEN, NOUMEA",4,10,0,500,-22.27631,166.4572
PANZD    K,"PANAMA, MANZANILLO",6,2,0,500,8.72491,-80.338454
FINHKO001,Hanko - Transfennica,4,2,0,500,59.83873,22.93521
ABWWB    K,"ARUBA, ORANJESTAD",4,7,0,500,12.52398,-70.02703
ARE4220  H,JEBEL ALI,5,5,0,500,24.9931,55.07
AREDU    K,"V.A.E., DUBAI",2,1,0,500,25.2653471,55.2924914
AREVA    K,"V.A.E., ABU DHABI",8,6,0,500,24.4538352,54.3774014
ARGZAE001,"ARGENTINIEN, HAFEN ZARATE",8,10,0,500,-34.0954713,-59.0245097
AUSFRE001,"AUSTRALIEN, FREMANTLE",7,6,0,500,-32.037005,115.768451
BHR4120  H,BAHRAIN,3,3,0,500,26.0845,50.550672
BHRBH    K,BAHRAIN,9,8,0,500,26.0845,50.550672
BOLBO    K,BOLIVIEN,1,6,0,500,-16.640652,-64.661928
BRNYT    K,"BRUNEI DARUSSALAM, MUARA",3,5,0,500,5.0262617,115.0702263
CHLEH    K,CHILE,10,6,0,500,-31.7613365,-71.3187697
CHNXNA   H,"XINSHA, CHINA",2,7,0,500,31.5840999,102.0692231
COLKC    K,"KOLUMBIEN, CARTAGENA",3,10,0,500,10.4266746,-75.5443419
CUWWG    K,"CURACAO, WILLEMSTAD",6,9,0,500,12.107031,-68.929252
CYMGEC   H,"KAIMANINSELN, GEORGETOWN, HAFE",1,8,0,500,19.2953549,-81.3807776
CYMWM    K,"KAIMANINSELN, GEORGETOWN (GRAN",9,7,0,500,19.32281,-81.2487
DOMJA    K,"DOMINIKANISCHE REPUBLIK, SANTO",7,1,0,500,46.1160556,8.291248
DOMLX    K,DOM.REPUBLIK;SEAT AROSA/ALHAMB,7,5,0,500,46.1160556,8.291248
GLPPAP   H,"POINT A PITRE, GUADELOUPE",3,3,0,500,16.2408636,-61.5334077
GLPWO    K,"GUADELOUPE, POINTE-A-PITRE",3,5,0,500,16.2408636,-61.5334077
GTMSTC   H,SANTO TOMAS DE CASTILLA HAFEN,2,9,0,500,15.6866305,-88.6118496
GUFWR    K,"FRANZOESISCH-GUAYANA, CAYENNE",5,4,0,500,4.9371143,-52.3258307
HKG4690  H,HONGKONG; HONGKONG PORT,9,3,0,500,22.381131,114.135572
HKGVF    K,HONGKONG,9,7,0,500,22.381131,114.135572
IDNJC    K,"INDONESIEN, JAKARTA",4,4,0,500,-6.175247,106.8270488
INDBOM001,Mumbai - Hafen,9,1,0,500,19.0308262,73.0198537
INDJJ    K,"INDIEN, MUMBAI (BOMBAY)",5,2,0,500,18.9733536,72.8281049191737
IRQJP    K,"IRAK, ERBIL (ARBIL)",9,10,0,500,36.1911653,44.0094294
JAMQX    K,"JAMAIKA, KINGSTON",1,3,0,500,17.9712148,-76.7928128
JOR4500  H,AQABA,5,10,0,500,29.5266483,35.0075433
JORJO    K,"JORDANIEN, AQABA",6,7,0,500,31.964145,35.902573
KENKE    K,"KENIA, MOMBASA",9,2,0,500,-4.05052,39.667169
KORPTK001,Pyeongtaek - Ro Ro / Car Terminal,5,6,0,500,37.3169005,126.8220934
KWT4050  H,KUWAIT,9,6,0,500,29.1863,48.075522
KWTKR    K,"KUWAIT, KUWAIT",1,5,0,500,29.38992115,48.0032865265623
LCAZH    K,ST. LUCIA,3,5,0,500,13.896235,-60.974929
MDGMD    K,"MADAGASKAR, TAMATAVE",8,4,0,500,-18.1553985,49.4098352
MOZMO    K,"MOSAMBIK, MAPUTO",2,8,0,500,-25.966213,32.56745
MTQFDF   H,"MARTINIQUE, FORT DE FRANCE",7,7,0,500,14.6027962,-61.0676724
MTQWY    K,MARTINIQUE,3,6,0,500,14.6113732,-60.9620777
MUSMT    K,"MAURITIUS, PORT LOUIS",5,3,0,500,-20.1624522,57.5028044
MUSPLU   H,"MAURITIUS, PORT LOUIS",3,8,0,500,-20.1624522,57.5028044
MYS4990  H,"MALAYSIA, PORT KELANG (PORT KL",10,3,0,500,3.0027625,101.3966735
MYSMC    K,"MALAYSIA, SHAH ALAM",8,2,0,500,3.0733644,101.5195149
MYSPKG   K,"MALAYSIA, PORT KELANG (PORSCHE",10,9,0,500,3.0027625,101.3966735
MYSQB    K,"MALAYSIA, KUALA LUMPUR",8,3,0,500,3.1516964,101.6942371
NCL5140  H,NEW CALEDONIA; NOUMEA PORT,4,8,0,500,-22.27631,166.4572
NOR6120  H,NORWEGEN; HAFEN OSLO,5,10,0,500,59.9133301,10.7389701
NORDRM   K,"NORWEGEN, DRAMMEN (PORSCHE)",2,6,0,500,59.6964936,10.1756419500127
NZL5070  H,NEW ZEALAND; AUCKLAND PORT,7,3,0,500,-36.852095,174.7631803
NZLAKL   K,"NEUSEELAND, AUCKLAND (PORSCHE)",7,5,0,500,-36.852095,174.7631803
NZLNB    K,"NEUSEELAND, AUCKLAND",6,6,0,500,-36.852095,174.7631803
OMNON    K,"OMAN, RUWI-MUSCAT",4,5,0,500,23.5995525,58.550656
OMNSOH   H,SUHAR,8,2,0,500,24.3445577,56.7424766
PANMIT   H,"MANZANILLO, PANAMA",3,9,0,500,8.72491,-80.338454
PERPE    K,PERU,6,6,0,500,-15.89767,-72.46938
PHLMN    K,"PHILIPPINEN, MANILA",1,3,0,500,14.5906346,120.9799964
QATQD    K,"KATAR, DOHA",9,5,0,500,25.2856329,51.5264162
REULPT001,Le Port,2,5,0,500,-20.93482,55.3133
REURE    K,"REUNION, SAINTE CLOTILDE",10,6,0,500,-21.1309332,55.5265771
REUXG    K,REUNION; SEAT,4,10,0,500,-21.1309332,55.5265771
SAU4040  H,"SAUDI-ARABIEN, JEDDAH",2,3,0,500,21.5810088,39.1653612
SAUJE    K,"SAUDI-ARABIEN, JEDDAH PORT",2,9,0,500,21.5810088,39.1653612
SAUSW    K,"SAUDI-ARABIEN, DSCHIDDA",8,1,0,500,21.5810088,39.1653612
SGP4180  H,SINGAPORE,8,8,0,500,1.357107,103.8194992
SGPSQ    K,SINGAPUR,10,8,0,500,1.357107,103.8194992
SLVWL    K,"EL SALVADOR, ACAJUTLA",10,4,0,500,13.5897967,-89.8297601
SXMPHI   H,"ST. MARTIN (NLD), PHILIPSBURG,",7,4,0,500,18.026,-63.04582
SXMZK    K,"ST. MARTIN (NLD), PHILIPSBURG",3,6,0,500,18.026,-63.04582
THATD    K,"THAILAND, LAEM CHABANG",4,4,0,500,13.0883664,100.9180778
TTOZE    K,"TRINIDAD & TOBAGO, PORT OF SPA",9,3,0,500,10.6572678,-61.5180173
TZAAS    K,"TANSANIA, DARESSALAM",10,7,0,500,-6.8160837,39.2803583
TZADAR   H,"TANSANIA, DARESSALAM",2,7,0,500,-6.8160837,39.2803583
VNMHB    K,"VIETNAM, HO CHI MINH CITY",1,2,0,500,10.7763897,106.7011391
ZAFKE    K,SÃœDAFRIKA SKD KENIA,7,2,0,500,-29.708985,23.666291
ZAFRW    K,SÃœDAFRIKA SKD RWANDA,10,1,0,500,-29.708985,23.666291
ESTES    K,"ESTLAND, PALDISKI",3,8,0,500,59.349089,24.0801736
ESTPLS   H,"ESTLAND, PALDISKI LOUNASADAM",7,7,0,500,59.349089,24.0801736
SWEHAD001,HAMLSTADT (PORT),10,1,0,500,56.6739826,12.8574827
SWESOE001,"SCHWEDEN, SOEDERTAELJE",1,8,0,500,59.1964289,17.6271663
