CODE_Origin,CODE_Destination
Almacen 471,Almacen 471
Almacen 471,Almacen 472
Almacen 471,Almacen 566
Almacen 471,Almacen 610
Almacen 471,Almacen 624
Almacen 471,Almacen 633
Almacen 471,Almacen 641
Almacen 471,Almacen 647
Almacen 471,Almacen 654
Almacen 471,Almacen 659
Almacen 471,Almacen 663
Almacen 471,Almacen 691
Almacen 471,Almacen 698
Almacen 471,Almacen 711
Almacen 471,Almacen 728
Almacen 471,Almacen 730
Almacen 471,Almacen 735
Almacen 472,Almacen 472
Almacen 472,Almacen 624
Almacen 473,Almacen 642
Almacen 473,Almacen 643
Almacen 474,Almacen 641
Almacen 474,Almacen 642
Almacen 475,Almacen 574
Almacen 475,Almacen 602
Almacen 476,Almacen 622
Almacen 476,Almacen 1192
Almacen 477,Almacen 641
Almacen 477,Almacen 642
Almacen 478,Almacen 442
Almacen 478,Almacen 445
Almacen 478,Almacen 478
Almacen 478,Almacen 555
Almacen 478,Almacen 625
Almacen 478,Almacen 628
Almacen 478,Almacen 641
Almacen 478,Almacen 647
Almacen 478,Almacen 649
Almacen 478,Almacen 653
Almacen 478,Almacen 654
Almacen 478,Almacen 663
Almacen 478,Almacen 669
Almacen 478,Almacen 680
Almacen 478,Almacen 691
Almacen 478,Almacen 694
Almacen 478,Almacen 695
Almacen 478,Almacen 702
Almacen 478,Almacen 728
Almacen 478,Almacen 730
Almacen 478,Almacen 734
Almacen 479,Almacen 445
Almacen 479,Almacen 653
Almacen 479,Almacen 680
Almacen 479,Almacen 702
Almacen 480,Almacen 445
Almacen 480,Almacen 628
Almacen 480,Almacen 641
Almacen 480,Almacen 642
Almacen 480,Almacen 676
Almacen 480,Almacen 680
Almacen 480,Almacen 728
Almacen 481,Almacen 691
Almacen 486,Almacen 734
Almacen 489,Almacen 305
Almacen 489,Almacen 622
Almacen 489,Almacen 642
Almacen 489,Almacen 671
Almacen 489,Almacen 1071
Almacen 489,Almacen 1087
Almacen 489,Almacen 1167
Almacen 489,Almacen 1175
Almacen 489,Almacen 1177
Almacen 489,Almacen 1261
Almacen 489,Almacen 1302
Almacen 494,Almacen 262
Almacen 494,Almacen 647
Almacen 494,Almacen 694
Almacen 494,Almacen 1261
Almacen 496,Almacen 647
Almacen 496,Almacen 671
Almacen 496,Almacen 676
Almacen 496,Almacen 692
Almacen 496,Almacen 695
Almacen 497,Almacen 497
Almacen 497,Almacen 671
Almacen 497,Almacen 676
Almacen 497,Almacen 692
Almacen 497,Almacen 697
Almacen 497,Almacen 724
Almacen 504,Almacen 504
Almacen 504,Almacen 668
Almacen 504,Almacen 671
Almacen 504,Almacen 676
Almacen 504,Almacen 692
Almacen 505,Almacen 671
Almacen 505,Almacen 676
Almacen 505,Almacen 692
Almacen 507,Almacen 668
Almacen 507,Almacen 671
Almacen 507,Almacen 692
Almacen 518,Almacen 305
Almacen 518,Almacen 622
Almacen 518,Almacen 641
Almacen 518,Almacen 642
Almacen 518,Almacen 643
Almacen 518,Almacen 647
Almacen 518,Almacen 653
Almacen 518,Almacen 655
Almacen 518,Almacen 683
Almacen 518,Almacen 1087
Almacen 518,Almacen 1167
Almacen 518,Almacen 1175
Almacen 518,Almacen 1177
Almacen 518,Almacen 1261
Almacen 519,Almacen 445
Almacen 519,Almacen 519
Almacen 519,Almacen 571
Almacen 519,Almacen 622
Almacen 519,Almacen 624
Almacen 519,Almacen 625
Almacen 519,Almacen 628
Almacen 519,Almacen 647
Almacen 519,Almacen 649
Almacen 519,Almacen 653
Almacen 519,Almacen 654
Almacen 519,Almacen 659
Almacen 519,Almacen 663
Almacen 519,Almacen 669
Almacen 519,Almacen 677
Almacen 519,Almacen 680
Almacen 519,Almacen 685
Almacen 519,Almacen 691
Almacen 519,Almacen 694
Almacen 519,Almacen 695
Almacen 519,Almacen 697
Almacen 519,Almacen 702
Almacen 519,Almacen 711
Almacen 519,Almacen 728
Almacen 519,Almacen 730
Almacen 519,Almacen 734
Almacen 519,Almacen 735
Almacen 519,Almacen 1192
Almacen 520,Almacen 633
Almacen 521,Almacen 825
Almacen 524,Almacen 643
Almacen 526,Almacen 643
Almacen 527,Almacen 574
Almacen 527,Almacen 730
Almacen 534,Almacen 642
Almacen 534,Almacen 1209
Almacen 539,Almacen 696
Almacen 550,Almacen 217
Almacen 550,Almacen 237
Almacen 550,Almacen 238
Almacen 550,Almacen 246
Almacen 550,Almacen 262
Almacen 550,Almacen 305
Almacen 550,Almacen 432
Almacen 550,Almacen 541
Almacen 550,Almacen 622
Almacen 550,Almacen 628
Almacen 550,Almacen 649
Almacen 550,Almacen 663
Almacen 550,Almacen 669
Almacen 550,Almacen 680
Almacen 550,Almacen 691
Almacen 550,Almacen 694
Almacen 550,Almacen 697
Almacen 550,Almacen 706
Almacen 550,Almacen 728
Almacen 550,Almacen 730
Almacen 550,Almacen 740
Almacen 550,Almacen 766
Almacen 550,Almacen 768
Almacen 550,Almacen 771
Almacen 550,Almacen 773
Almacen 550,Almacen 777
Almacen 550,Almacen 781
Almacen 550,Almacen 783
Almacen 550,Almacen 800
Almacen 550,Almacen 830
Almacen 550,Almacen 831
Almacen 550,Almacen 834
Almacen 550,Almacen 835
Almacen 550,Almacen 836
Almacen 550,Almacen 837
Almacen 550,Almacen 838
Almacen 550,Almacen 949
Almacen 550,Almacen 950
Almacen 550,Almacen 1037
Almacen 550,Almacen 1038
Almacen 550,Almacen 1043
Almacen 550,Almacen 1177
Almacen 550,Almacen 1261
Almacen 550,Almacen 1299
Almacen 550,Almacen 1324
Almacen 550,Almacen 1372
Almacen 550,Almacen 1379
Almacen 551,Almacen 258
Almacen 551,Almacen 262
Almacen 551,Almacen 299
Almacen 551,Almacen 555
Almacen 551,Almacen 622
Almacen 551,Almacen 625
Almacen 551,Almacen 628
Almacen 551,Almacen 641
Almacen 551,Almacen 643
Almacen 551,Almacen 644
Almacen 551,Almacen 647
Almacen 551,Almacen 649
Almacen 551,Almacen 654
Almacen 551,Almacen 659
Almacen 551,Almacen 663
Almacen 551,Almacen 669
Almacen 551,Almacen 671
Almacen 551,Almacen 677
Almacen 551,Almacen 680
Almacen 551,Almacen 691
Almacen 551,Almacen 694
Almacen 551,Almacen 702
Almacen 551,Almacen 730
Almacen 551,Almacen 793
