,CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag,latitude,longitude
33,Almacen 33,5.0,6.0,500.0,3.0,H,H,43.714735150311334,-0.7670213158633352
34,Almacen 34,1.0,2.0,500.0,1.0,H,H,38.851605300844156,-1.1633962290537472
35,Almacen 35,4.0,5.0,500.0,4.0,H,H,36.48849989027098,3.0552241276106287
36,Almacen 36,4.0,5.0,500.0,2.0,H,H,40.38554003576312,-4.903511261515432
37,Almacen 37,2.0,3.0,500.0,2.0,H,H,39.4050571694895,-1.0919243305374735
38,Almacen 38,1.0,2.0,500.0,1.0,H,H,37.91434363526489,1.7518673366000819
39,Almacen 39,1.0,2.0,500.0,1.0,H,H,43.24130615969629,-5.7412957093372405
40,Almacen 40,1.0,2.0,500.0,1.0,H,H,41.950423315913035,-4.474812437671535
41,Almacen 41,2.0,3.0,500.0,2.0,H,H,43.6095956568948,-6.79372815478524
42,Almacen 42,1.0,2.0,500.0,1.0,H,H,41.099917871089225,-9.198933386167749
43,Almacen 43,3.0,4.0,500.0,3.0,H,H,37.93790011649482,-0.8574173008498178
44,Almacen 44,1.0,2.0,500.0,1.0,H,H,37.87110439831951,1.1416819093891792
45,Almacen 45,2.0,3.0,500.0,2.0,H,H,39.042585306896264,-5.494606846837592
46,Almacen 46,3.0,4.0,500.0,3.0,H,H,40.75719901624187,-1.1673097591470167
47,Almacen 47,1.0,2.0,500.0,1.0,H,H,42.18648983659867,0.4081973601154889
48,Almacen 48,1.0,2.0,500.0,1.0,H,H,41.08859565046548,-7.7305664787462725
49,Almacen 49,1.0,2.0,500.0,1.0,H,H,37.82842821375324,-0.8092585156847729
50,Almacen 50,1.0,2.0,500.0,1.0,H,H,38.11223560128469,-2.8712675828094474
51,Almacen 51,2.0,3.0,500.0,2.0,H,H,40.59588126672748,-2.603541384397544
52,Almacen 52,2.0,3.0,500.0,2.0,H,H,36.084579213074576,-3.542631875872046
53,Almacen 53,2.0,3.0,500.0,2.0,H,H,41.697181833521846,3.446257135541737
54,Almacen 54,3.0,4.0,500.0,3.0,H,H,37.133746761666096,-7.485872108880595
55,Almacen 55,1.0,2.0,500.0,1.0,H,H,38.29635504190354,2.9293356474516408
56,Almacen 56,3.0,4.0,500.0,3.0,H,H,38.628649371085594,-2.7108372994314704
57,Almacen 57,1.0,2.0,500.0,1.0,H,H,40.884629191330745,-6.60268742459481
58,Almacen 58,4.0,5.0,500.0,4.0,H,H,38.50792607558721,-2.774053566753982
59,Almacen 59,1.0,2.0,500.0,1.0,H,H,36.71829115972643,-1.5974988173145954
60,Almacen 60,2.0,3.0,500.0,2.0,H,H,41.855443807437176,0.6238982416928032
61,Almacen 61,1.0,2.0,500.0,1.0,H,H,36.59701677147543,3.3069540079112247
62,Almacen 62,2.0,3.0,500.0,2.0,H,H,37.652068691368655,-3.7678726221115078
63,Almacen 63,2.0,3.0,500.0,2.0,H,H,38.06251701170512,-2.6054463398857095
64,Almacen 64,1.0,2.0,500.0,1.0,H,H,40.96612985180679,3.137053111912346
65,Almacen 65,165.0,182.0,500.0,28.0,H,H,38.62090573879806,-6.915055850276811
66,Almacen 66,18.0,20.0,500.0,8.0,H,H,36.07873874544539,0.18974994578614535
67,Almacen 67,10.0,11.0,500.0,6.0,H,H,43.28916495757774,-1.8769253238304993
68,Almacen 68,1.0,2.0,500.0,1.0,H,H,39.51863798474558,-1.946369581726902
69,Almacen 69,5.0,6.0,500.0,2.0,H,H,40.43974465401117,-5.272257285699388
70,Almacen 70,2.0,3.0,500.0,2.0,H,H,38.20025493450672,-6.9736664707545595
71,Almacen 71,2.0,3.0,500.0,2.0,H,H,40.0196304940998,-5.8645162462879785
72,Almacen 72,7.0,8.0,500.0,3.0,H,H,38.547655842559465,-0.8995880497539481
73,Almacen 73,99.0,109.0,500.0,13.0,H,H,39.044290724438454,-5.6863717891208765
74,Almacen 74,2.0,3.0,500.0,1.0,H,H,42.41199583438215,3.778791191094223
75,Almacen 75,1.0,2.0,500.0,1.0,H,H,40.232964406739214,1.1148658390032118
76,Almacen 76,44.0,49.0,500.0,11.0,H,H,36.7709057312337,-0.39946433989404184
77,Almacen 77,1.0,2.0,500.0,1.0,H,H,37.41749202526021,-0.6462210309585465
78,Almacen 78,4.0,5.0,500.0,2.0,H,H,42.20411125241735,-3.4670831196560528
79,Almacen 79,4.0,5.0,500.0,2.0,H,H,36.28121171591551,-1.2232552875985743
80,Almacen 80,6.0,7.0,500.0,6.0,H,H,43.463520357776126,-0.4957334793434516
81,Almacen 81,2.0,3.0,500.0,1.0,H,H,43.712235903105004,3.0396991040972203
82,Almacen 82,1.0,2.0,500.0,1.0,H,H,42.76741513885368,-6.130373151124545
83,Almacen 83,2.0,3.0,500.0,2.0,H,H,38.930844481986064,-4.215672937939054
84,Almacen 84,2.0,3.0,500.0,2.0,H,H,42.34342195951914,-5.074408937971177
85,Almacen 85,16.0,18.0,500.0,6.0,H,H,42.1505914918268,0.5854666993926383
86,Almacen 86,1.0,2.0,500.0,1.0,H,H,39.56528666098239,-6.941226947302006
87,Almacen 87,1.0,2.0,500.0,1.0,H,H,36.41059984218961,-5.594483994812562
88,Almacen 88,1.0,2.0,500.0,1.0,H,H,43.636313948699964,-4.529860143930898
89,Almacen 89,1.0,2.0,500.0,1.0,H,H,40.95586877314682,-5.0439058123319755
90,Almacen 90,1.0,2.0,500.0,1.0,H,H,36.229885179247944,-8.221276489277257
91,Almacen 91,5.0,6.0,500.0,5.0,H,H,39.125895390049564,-2.7066168440871143
92,Almacen 92,2.0,3.0,500.0,1.0,H,H,41.75136253339238,-7.439348179329292
93,Almacen 93,1.0,2.0,500.0,1.0,H,H,37.70269172763487,3.8962104737414744
94,Almacen 94,1.0,2.0,500.0,1.0,H,H,40.16309150113422,-7.503084893766857
95,Almacen 95,116.0,128.0,500.0,40.0,H,H,36.79947225765963,-6.541944391026839
96,Almacen 96,1.0,2.0,500.0,1.0,H,H,42.37862565801934,3.7671790425602474
97,Almacen 97,1.0,2.0,500.0,1.0,H,H,41.885220946385104,-6.754726887117277
98,Almacen 98,1.0,2.0,500.0,1.0,H,H,37.089191067596275,1.1862428969044547
99,Almacen 99,2.0,3.0,500.0,1.0,H,H,39.53846260641491,-2.4095814293071642
100,Almacen 100,1.0,2.0,500.0,1.0,H,H,42.77450135489169,-0.9556603975208144
101,Almacen 101,1.0,2.0,500.0,1.0,H,H,39.43143962165614,-5.969043578899523
102,Almacen 102,4.0,5.0,500.0,2.0,H,H,43.23830860496463,-5.728758491897992
103,Almacen 103,1.0,2.0,500.0,1.0,H,H,36.36924608962235,-7.865237325163938
104,Almacen 104,1.0,2.0,500.0,1.0,H,H,42.276413514193386,3.6720658954939704
105,Almacen 105,2.0,3.0,500.0,2.0,H,H,37.724999460552574,0.3773242070792673
106,Almacen 106,11.0,13.0,500.0,6.0,H,H,38.92264375038588,-0.9402690650463974
107,Almacen 107,2.0,3.0,500.0,1.0,H,H,38.31854779836437,-1.1678664457355428
108,Almacen 108,1.0,2.0,500.0,1.0,H,H,41.65796402575217,-5.376673348607801
109,Almacen 109,1.0,2.0,500.0,1.0,H,H,37.63233987701021,-6.748534228816719
110,Almacen 110,1.0,2.0,500.0,1.0,H,H,39.53589485149561,0.9965010778424119
111,Almacen 111,110.0,122.0,500.0,23.0,H,H,38.51641382244469,-0.7941118472089599
112,Almacen 112,1.0,2.0,500.0,1.0,H,H,41.08509874951241,-5.488497499376393
113,Almacen 113,7.0,8.0,500.0,6.0,H,H,41.480447213160005,3.315143462358906
114,Almacen 114,9.0,10.0,500.0,2.0,H,H,40.37748885207828,-8.983008762228515
115,Almacen 115,2.0,3.0,500.0,2.0,H,H,40.65547317292756,-3.0575535895528345
116,Almacen 116,5.0,6.0,500.0,4.0,H,H,38.61447466179781,-8.631007867495219
117,Almacen 117,2.0,3.0,500.0,2.0,H,H,37.601029425519386,0.7487916756559532
118,Almacen 118,3.0,4.0,500.0,3.0,H,H,43.01848773000612,-0.11173020915702914
119,Almacen 119,17.0,19.0,500.0,7.0,H,H,43.0111264535694,4.066839804891911
120,Almacen 120,2.0,3.0,500.0,2.0,H,H,36.35185117311199,-0.3583370463376472
121,Almacen 121,4.0,5.0,500.0,2.0,H,H,37.264485828422444,-7.429346309143327
122,Almacen 122,1.0,2.0,500.0,1.0,H,H,37.38501124174164,0.6452149640163807
123,Almacen 123,2.0,3.0,500.0,2.0,H,H,37.554205109453015,4.041013467013334
124,Almacen 124,1.0,2.0,500.0,1.0,H,H,36.38302415387561,-1.097901887580063
125,Almacen 125,2.0,3.0,500.0,1.0,H,H,39.055655222966585,3.2350179333229576
126,Almacen 126,2.0,3.0,500.0,1.0,H,H,39.81094519428544,1.0480184805810957
127,Almacen 127,1.0,2.0,500.0,1.0,H,H,43.317057720199045,-5.040335624435513
128,Almacen 128,5.0,6.0,500.0,3.0,H,H,39.1072321377512,-1.7417697574314062
129,Almacen 129,3.0,4.0,500.0,1.0,H,H,42.28760719477973,-0.25613149900494214
130,Almacen 130,1.0,2.0,500.0,1.0,H,H,42.13795641353884,-1.3770976388996905
131,Almacen 131,10.0,11.0,500.0,5.0,H,H,37.454328039186855,-5.648000693533541
132,Almacen 132,22.0,25.0,500.0,14.0,H,H,38.82061205529395,-8.941100739087613
133,Almacen 133,1.0,2.0,500.0,1.0,H,H,36.06866467189783,-6.791218886991892
134,Almacen 134,1.0,2.0,500.0,1.0,H,H,42.746681845276065,2.2688313044062483
135,Almacen 135,3.0,4.0,500.0,3.0,H,H,36.04729311726026,2.948118495967771
136,Almacen 136,1.0,2.0,500.0,1.0,H,H,39.59293187603577,-3.6086265453471933
137,Almacen 137,1.0,2.0,500.0,1.0,H,H,40.778935351459836,-5.188396543780502
138,Almacen 138,1.0,2.0,500.0,1.0,H,H,40.27232901968909,2.5497175571469537
139,Almacen 139,1.0,2.0,500.0,1.0,H,H,36.90413625046682,1.8976289832427913
140,Almacen 140,1.0,2.0,500.0,1.0,H,H,40.06017886728778,-8.608101596747009
141,Almacen 141,2.0,3.0,500.0,1.0,H,H,39.75403615597497,-2.4180155876990046
142,Almacen 142,2.0,3.0,500.0,2.0,H,H,39.9811642624148,-3.683789582594116
143,Almacen 143,1.0,2.0,500.0,1.0,H,H,40.94982796659505,0.00047070614660071897
144,Almacen 144,1.0,2.0,500.0,1.0,H,H,42.696891676912635,2.6875616072717854
145,Almacen 145,1.0,2.0,500.0,1.0,H,H,36.48301011067957,-7.901311526161647
146,Almacen 146,1.0,2.0,500.0,1.0,H,H,36.02369366415538,-3.586122926169889
147,Almacen 147,10.0,11.0,500.0,6.0,H,H,42.20728609315526,-3.7205058341390806
148,Almacen 148,1.0,2.0,500.0,1.0,H,H,43.05654893909034,-4.372948275444718
149,Almacen 149,6.0,7.0,500.0,2.0,H,H,37.564032973733354,-4.357934375178627
150,Almacen 150,1.0,2.0,500.0,1.0,H,H,42.66607965322119,-2.3004641200249427
151,Almacen 151,4.0,5.0,500.0,2.0,H,H,36.78765436576214,-3.599958088846531
152,Almacen 152,8.0,9.0,500.0,3.0,H,H,40.961074039720636,-9.143923264682867
153,Almacen 153,1.0,2.0,500.0,1.0,H,H,36.49375814438484,3.4896482589236477
154,Almacen 154,7.0,8.0,500.0,6.0,H,H,43.07164224596349,0.36225548874919333
155,Almacen 155,4.0,5.0,500.0,3.0,H,H,39.53550997117308,-0.8427610894864976
156,Almacen 156,1.0,2.0,500.0,1.0,H,H,38.50722435028105,-4.374407922965603
157,Almacen 157,15.0,17.0,500.0,7.0,H,H,39.06644069570757,2.919067202756702
158,Almacen 158,2.0,3.0,500.0,2.0,H,H,36.047920004642734,1.320700674849256
159,Almacen 159,2.0,3.0,500.0,1.0,H,H,40.39608110578938,2.6812962102878295
160,Almacen 160,1.0,2.0,500.0,1.0,H,H,38.043551951607704,-6.984956884613288
161,Almacen 161,2.0,3.0,500.0,1.0,H,H,40.35955291310941,-8.106614739885114
162,Almacen 162,1.0,2.0,500.0,1.0,H,H,42.789745122499085,-2.8569398797085075
163,Almacen 163,16.0,18.0,500.0,7.0,H,H,40.85266604494373,1.431919158066158
164,Almacen 164,1.0,2.0,500.0,1.0,H,H,37.816670113158025,-8.989492223602499
165,Almacen 165,2.0,3.0,500.0,2.0,H,H,43.08701937741255,2.360310176483063
166,Almacen 166,2.0,3.0,500.0,2.0,H,H,39.51600336475503,-5.909916993028233
167,Almacen 167,1.0,2.0,500.0,1.0,H,H,38.02569651504464,-5.859999826397859
168,Almacen 168,1.0,2.0,500.0,1.0,H,H,36.25020174895427,-3.411122020411444
169,Almacen 169,2.0,3.0,500.0,1.0,H,H,37.574630917290996,-9.058266848633796
170,Almacen 170,1.0,2.0,500.0,1.0,H,H,42.28857842307158,3.2807985363711083
171,Almacen 171,27.0,30.0,500.0,8.0,H,H,40.307599834352054,1.9005761286518936
172,Almacen 172,3.0,4.0,500.0,3.0,H,H,38.532757578725395,-7.653244072964132
173,Almacen 173,2.0,3.0,500.0,2.0,H,H,38.47087464832212,-1.2347671885932474
174,Almacen 174,1.0,2.0,500.0,1.0,H,H,42.82860432441358,2.379540013243064
175,Almacen 175,1.0,2.0,500.0,1.0,H,H,39.38383138300243,2.0211032708086734
176,Almacen 176,2.0,3.0,500.0,2.0,H,H,43.478937422060554,-1.142548988506375
177,Almacen 177,2.0,3.0,500.0,2.0,H,H,43.0280560321892,-9.220003840749147
178,Almacen 178,5.0,6.0,500.0,3.0,H,H,41.810422484615756,-4.563086317320419
179,Almacen 179,5.0,6.0,500.0,3.0,H,H,37.1644652565627,-7.190476853875683
180,Almacen 180,1.0,2.0,500.0,1.0,H,H,37.923465040860094,-2.176469784865466
181,Almacen 181,2.0,3.0,500.0,2.0,H,H,36.45307996648005,-1.552361828225295
182,Almacen 182,14.0,16.0,500.0,5.0,H,H,41.84464852251946,-1.8472941164328187
183,Almacen 183,2.0,3.0,500.0,2.0,H,H,41.47534931260992,-3.544515694271624
184,Almacen 184,20.0,22.0,500.0,6.0,H,H,41.530219429303386,-1.5194613164732997
185,Almacen 185,1.0,2.0,500.0,1.0,H,H,43.54963408839252,-8.775228714994542
186,Almacen 186,1.0,2.0,500.0,1.0,H,H,39.63528715013351,3.577128595933292
187,Almacen 187,4.0,5.0,500.0,3.0,H,H,42.903243720270495,0.37583211039441267
188,Almacen 188,11.0,13.0,500.0,5.0,H,H,42.38824218244676,0.9219689824116521
189,Almacen 189,1.0,2.0,500.0,1.0,H,H,42.087554968704396,1.1668335375687864
190,Almacen 190,1.0,2.0,500.0,1.0,H,H,36.78148335651212,-3.5236630090192325
191,Almacen 191,1.0,2.0,500.0,1.0,H,H,37.748250819645364,-1.9732791104755343
192,Almacen 192,45.0,50.0,500.0,8.0,H,H,42.86635200379037,0.6852174191345615
193,Almacen 193,1.0,2.0,500.0,1.0,H,H,36.41366996633054,2.9156812823843126
194,Almacen 194,1.0,2.0,500.0,1.0,H,H,38.03447248968245,-7.918321601072737
195,Almacen 195,1.0,2.0,500.0,1.0,H,H,43.6979808151477,-7.2159251934301825
196,Almacen 196,1.0,2.0,500.0,1.0,H,H,42.7647256427066,-2.390424195689304
197,Almacen 197,1.0,2.0,500.0,1.0,H,H,36.19624899693433,-0.6295901561135917
198,Almacen 198,39.0,43.0,500.0,8.0,H,H,37.378390780192554,4.185296437977396
199,Almacen 199,1.0,2.0,500.0,1.0,H,H,37.923257683545614,-7.2259672047933865
200,Almacen 200,1.0,2.0,500.0,1.0,H,H,40.56704207933306,0.5766372630346535
201,Almacen 201,1.0,2.0,500.0,1.0,H,H,39.92422750689571,1.273936998038888
202,Almacen 202,1.0,2.0,500.0,1.0,H,H,38.6158289615867,2.790690316393503
203,Almacen 203,143.0,158.0,500.0,13.0,H,H,41.72394481188797,-6.415175435111754
204,Almacen 204,2.0,3.0,500.0,1.0,H,H,38.21833594982371,1.5611409750087049
205,Almacen 205,9.0,10.0,500.0,4.0,H,H,43.66219457414643,-2.9341509473938334
206,Almacen 206,1.0,2.0,500.0,1.0,H,H,39.41710379555917,-1.1284192391119294
207,Almacen 207,1.0,2.0,500.0,1.0,H,H,36.60104109150336,-7.477011554187033
208,Almacen 208,1.0,2.0,500.0,1.0,H,H,40.513497538239896,0.8540210499903509
209,Almacen 209,8.0,9.0,500.0,2.0,H,H,36.65393281026869,-7.1357782987417195
210,Almacen 210,0.0,0.0,500.0,500.0,M,M,40.37760934998172,-3.602327106642674
211,Almacen 211,1.0,0.0,500.0,500.0,M,V,41.05786468166037,-4.084536456008058
212,Almacen 212,1.0,0.0,500.0,500.0,M,V,37.21586261589095,-4.6349949879468895
213,Almacen 213,1.0,2.0,500.0,1.0,H,H,39.87529226847135,-7.658879092491443
214,Almacen 214,0.0,0.0,500.0,500.0,M,M,36.94553193526945,-6.670888716005093
215,Almacen 215,473.0,388.0,500.0,21.0,H,V,41.319937050177586,-0.5621382419462684
216,Almacen 216,516.0,559.0,500.0,26.0,H,V,40.85451221821469,-0.7914621201130192
217,Almacen 217,330.0,364.0,500.0,16.0,H,H,41.979502262571465,-0.8397843266265799
218,Almacen 218,16.0,0.0,500.0,500.0,M,V,43.22376799337642,2.5537465744532035
219,Almacen 219,0.0,0.0,500.0,500.0,M,M,40.224595098656536,1.8809021018030823
220,Almacen 220,0.0,0.0,500.0,500.0,M,M,40.06407474090059,-5.7584032832151175
221,Almacen 221,2931.0,3225.0,500.0,682.0,H,H,40.750729991410246,-2.3241057521340007
222,Almacen 222,12.0,14.0,500.0,2.0,H,H,42.959127068853356,-4.816419169180217
223,Almacen 223,1.0,2.0,500.0,1.0,H,H,37.85765204096558,0.3859338909361405
224,Almacen 224,4350.0,4785.0,500.0,628.0,H,H,36.912345057458666,3.581002337041806
225,Almacen 225,688.0,0.0,500.0,500.0,M,V,42.60528807075589,-4.897736614886652
226,Almacen 226,1914.0,0.0,500.0,500.0,M,V,37.068985316866204,0.5249252904084862
227,Almacen 227,1.0,0.0,500.0,500.0,M,V,36.546121811710705,-8.283227547395565
228,Almacen 228,821.0,0.0,500.0,500.0,M,V,36.866542987245985,-3.5436571491478785
229,Almacen 229,7379.0,0.0,500.0,500.0,M,V,41.74199169339617,-2.7503953703737754
230,Almacen 230,1.0,0.0,500.0,500.0,M,V,36.94779292312789,-3.862768212364972
231,Almacen 231,28.0,31.0,500.0,17.0,H,H,41.26460378978952,3.9475454907527983
232,Almacen 232,1319.0,614.0,500.0,144.0,H,V,37.454253649738455,-6.836061036461888
233,Almacen 233,0.0,0.0,500.0,500.0,M,M,42.06914223475363,-3.038710102884828
234,Almacen 234,280.0,309.0,500.0,30.0,H,H,38.3197629081324,1.2990617612154924
235,Almacen 235,308.0,339.0,500.0,240.0,H,H,43.711238553762136,0.5610436401850176
236,Almacen 236,1980.0,3043.0,500.0,416.0,H,H,41.085919622628694,-5.754365886244873
237,Almacen 237,5389.0,8125.0,500.0,1062.0,H,H,40.65602106404681,-4.182942287062011
238,Almacen 238,11578.0,15875.0,500.0,1015.0,H,H,38.10216787110883,-6.539761657125236
239,Almacen 239,10519.0,15940.0,500.0,1240.0,H,H,40.52655833030135,-2.506636795030266
240,Almacen 240,1.0,0.0,500.0,500.0,M,V,36.870041849809105,-0.6272794588481663
241,Almacen 241,0.0,0.0,500.0,500.0,M,M,43.01439289467379,-2.9191153588808527
242,Almacen 242,144.0,159.0,500.0,54.0,H,H,36.12860741119427,-4.135232765143441
243,Almacen 243,203.0,2222.0,500.0,162.0,V,V,42.590292392525505,1.5877023508841983
244,Almacen 244,55.0,61.0,500.0,13.0,H,H,43.399036301091265,3.366472409123503
245,Almacen 245,3.0,18.0,500.0,2.0,H,V,42.957314912826476,1.8256285597403643
246,Almacen 246,2682.0,2222.0,500.0,486.0,V,V,39.702535883597704,-1.4375069033192212
247,Almacen 247,2420.0,2222.0,500.0,508.0,V,V,43.784808843374385,-0.47638459854629467
248,Almacen 248,1256.0,2222.0,500.0,428.0,V,V,41.757084098298265,-6.700612191255239
249,Almacen 249,33.0,37.0,500.0,6.0,H,H,37.56150869868551,-2.0533877735808526
250,Almacen 250,168.0,210.0,500.0,22.0,H,V,42.14907345574216,-6.230344236770451
251,Almacen 251,24.0,0.0,500.0,500.0,M,V,39.762065536261034,2.818481511827855
252,Almacen 252,3.0,2222.0,55.0,111.0,V,V,36.4241628168955,0.858620887100372
253,Almacen 253,25.0,28.0,500.0,5.0,H,H,40.45727383274502,-7.894703233360961
254,Almacen 254,10.0,11.0,500.0,5.0,H,H,42.5299021268249,-7.6077755130836096
255,Almacen 255,23.0,26.0,500.0,19.0,H,H,36.80487397683214,3.0554348290380773
256,Almacen 256,2189.0,3970.0,79.0,443.0,H,H,42.53089453921953,-0.434099425798232
257,Almacen 257,1124.0,2519.0,500.0,252.0,H,H,38.744854400381556,-0.4322538458504912
258,Almacen 258,2278.0,2222.0,500.0,308.0,V,V,41.175205365680746,-1.2096939637375037
259,Almacen 259,51.0,57.0,500.0,30.0,H,H,37.30612007250673,1.7686473914841656
260,Almacen 260,286.0,1254.0,768.0,32.0,V,V,39.223175866206276,-2.429885019668423
261,Almacen 261,16.0,18.0,500.0,7.0,H,H,43.78799028828486,1.018314574810402
262,Almacen 262,8086.0,2222.0,500.0,1130.0,V,V,36.300571430036904,-0.40433940445950256
263,Almacen 263,195.0,215.0,500.0,24.0,H,H,39.46192189417927,-3.0827318999033357
264,Almacen 264,164.0,2222.0,462.0,433.0,V,V,37.75241224339362,-6.246610685455103
265,Almacen 265,115.0,138.0,10.0,70.0,H,H,37.5438688015686,-1.5431918088360899
266,Almacen 266,12.0,14.0,500.0,6.0,H,H,42.511041165170006,-3.0644085393509233
267,Almacen 267,475.0,2222.0,393.0,92.0,V,V,38.56956638882059,-6.875344673975041
268,Almacen 268,214.0,2222.0,107.0,500.0,V,V,43.35967173695024,-2.996197100660744
269,Almacen 269,227.0,250.0,500.0,30.0,H,H,38.879610567907385,-6.006843877131242
270,Almacen 270,64.0,71.0,500.0,10.0,H,H,37.48966118559007,-3.279151083278914
271,Almacen 271,1.0,2.0,500.0,1.0,H,H,37.38801243039842,-0.13772616274864546
272,Almacen 272,117.0,129.0,500.0,6.0,H,H,42.704293188018376,-0.5586321576105266
273,Almacen 273,7154.0,7870.0,500.0,161.0,H,H,43.480507161022324,-0.2106052259032669
274,Almacen 274,0.0,0.0,500.0,500.0,M,M,39.50763372130434,-2.29752807215577
275,Almacen 275,503.0,554.0,500.0,58.0,H,H,42.71412876512264,0.5080644524060052
276,Almacen 276,2501.0,6492.0,500.0,98.0,H,V,43.375392472175214,3.2362192165445514
277,Almacen 277,0.0,0.0,500.0,500.0,M,M,38.23111072996788,-2.106990052768521
278,Almacen 278,17.0,92.0,500.0,9.0,H,V,36.18988980687516,-4.346723223594259
279,Almacen 279,572.0,630.0,500.0,44.0,H,H,40.50286842262334,-4.537414005851672
280,Almacen 280,23.0,2.0,500.0,1.0,H,V,42.49396951658939,-9.06631378132763
281,Almacen 281,10332.0,0.0,500.0,500.0,M,V,40.16137918720625,-0.16583025508609062
282,Almacen 282,1294.0,0.0,500.0,500.0,M,V,40.90643800529868,-7.619029615345574
283,Almacen 283,14146.0,0.0,500.0,500.0,M,V,36.20469613092064,3.5743727306749378
284,Almacen 284,24.0,0.0,500.0,500.0,M,V,41.28295201764864,4.072847941119944
285,Almacen 285,0.0,0.0,500.0,500.0,M,M,40.68770580796076,-7.271087898334828
286,Almacen 286,13125.0,0.0,500.0,500.0,M,V,43.038679583294005,-2.836569646985457
287,Almacen 287,0.0,0.0,500.0,500.0,M,M,41.80203652024806,-0.6934386889793629
288,Almacen 288,5665.0,3769.0,500.0,238.0,H,V,36.774304489167555,-9.026941545995395
289,Almacen 289,1.0,0.0,500.0,500.0,M,V,42.1045647567267,-8.992654399571085
290,Almacen 290,378.0,154.0,500.0,77.0,H,V,38.98067332742536,-4.718931332845667
291,Almacen 291,555.0,611.0,500.0,24.0,H,H,39.43316635576369,-2.818496153512381
292,Almacen 292,583.0,642.0,500.0,86.0,H,H,38.765476595838194,1.2275745475001738
293,Almacen 293,0.0,0.0,500.0,500.0,M,M,42.898367091080225,1.0034027996014352
294,Almacen 294,0.0,0.0,500.0,500.0,M,M,37.41251111164893,-6.529789170598871
295,Almacen 295,66.0,54.0,500.0,16.0,H,V,41.569942209443504,4.297560523970969
296,Almacen 296,32.0,0.0,500.0,500.0,M,V,37.03484179324501,-8.490614965532792
297,Almacen 297,271.0,0.0,500.0,500.0,M,V,37.50080631151495,4.015432088619438
298,Almacen 298,316.0,0.0,500.0,500.0,M,V,39.53057151456672,0.3495494755429682
299,Almacen 299,21827.0,46541.0,500.0,1682.0,H,H,37.904382238147406,-6.809211977262459
